p_75_84_yr_voluntary_work_ns, f_85ov_not_a_volunteer, p_85ov_not_a_volunteer, p_55_64_yr_voluntary_work_ns, m_15_19_yr_tot, m_35_44_yr_voluntary_work_ns, f_20_24_yr_not_a_volunteer, p_15_19_yr_tot, p_75_84_yr_volunteer, p_25_34_yr_voluntary_work_ns, f_75_84_yr_tot, m_20_24_yr_not_a_volunteer, m_20_24_yr_voluntary_work_ns, m_75_84_yr_volunteer, f_25_34_yr_not_a_volunteer, m_85ov_tot, p_tot_volunteer, m_15_19_yr_not_a_volunteer, f_45_54_yr_not_a_volunteer, f_85_ov_voluntary_work_ns, m_25_34_yr_not_a_volunteer, m_15_19_yr_voluntary_work_ns, p_65_74_yr_tot, m_45_54_yr_not_a_volunteer, m_85ov_volunteer, f_65_74_yr_tot, m_45_54_yr_tot, m_15_19_yr_volunteer, f_20_24_yr_volunteer, f_15_19_yr_voluntary_work_ns, p_tot_voluntary_work_ns, f_tot_tot, m_35_44_yr_tot, m_55_64_yr_volunteer, f_85ov_tot, m_85_ov_voluntary_work_ns, m_75_84_yr_voluntary_work_ns, f_35_44_yr_voluntary_work_ns, f_15_19_yr_not_a_volunteer, p_55_64_yr_not_a_volunteer, p_tot_tot, p_85_ov_voluntary_work_ns, f_55_64_yr_not_a_volunteer, f_15_19_yr_tot, p_85ov_tot, m_35_44_yr_not_a_volunteer, p_45_54_yr_volunteer, p_20_24_yr_not_a_volunteer, p_35_44_yr_voluntary_work_ns, m_tot_voluntary_work_ns, p_25_34_yr_tot, f_65_74_yr_volunteer, f_65_74_yr_not_a_volunteer, m_65_74_yr_volunteer, p_25_34_yr_not_a_volunteer, p_45_54_yr_voluntary_work_ns, m_75_84_yr_not_a_volunteer, m_35_44_yr_volunteer, m_55_64_yr_not_a_volunteer, f_tot_voluntary_work_ns, p_55_64_yr_tot, f_25_34_yr_volunteer, p_75_84_yr_not_a_volunteer, m_25_34_yr_tot, f_tot_volunteer, m_65_74_yr_not_a_volunteer, f_55_64_yr_volunteer, p_15_19_yr_voluntary_work_ns, f_45_54_yr_volunteer, f_55_64_yr_tot, f_20_24_yr_voluntary_work_ns, m_45_54_yr_volunteer, p_45_54_yr_tot, p_15_19_yr_volunteer, f_85ov_volunteer, p_85ov_volunteer, m_tot_tot, f_35_44_yr_tot, p_35_44_yr_volunteer, f_45_54_yr_voluntary_work_ns, m_25_34_yr_volunteer, p_55_64_yr_volunteer, f_tot_not_a_volunteer, f_55_64_yr_voluntary_work_ns, p_35_44_yr_not_a_volunteer, p_75_84_yr_tot, f_15_19_yr_volunteer, p_tot_not_a_volunteer, f_75_84_yr_voluntary_work_ns, p_35_44_yr_tot, m_45_54_yr_voluntary_work_ns, m_75_84_yr_tot, p_65_74_yr_not_a_volunteer, p_20_24_yr_volunteer, f_35_44_yr_not_a_volunteer, sa4_name16, f_20_24_yr_tot, f_75_84_yr_volunteer, m_55_64_yr_voluntary_work_ns, m_tot_volunteer, f_35_44_yr_volunteer, p_20_24_yr_voluntary_work_ns, p_25_34_yr_volunteer, f_45_54_yr_tot, p_45_54_yr_not_a_volunteer, f_75_84_yr_not_a_volunteer, m_20_24_yr_volunteer, m_85ov_not_a_volunteer, p_20_24_yr_tot, m_65_74_yr_voluntary_work_ns, p_65_74_yr_volunteer, f_65_74_yr_voluntary_work_ns, p_65_74_yr_voluntary_work_ns, sa4_code16, m_65_74_yr_tot, m_tot_not_a_volunteer, m_20_24_yr_tot, m_55_64_yr_tot, f_25_34_yr_tot, f_25_34_yr_voluntary_work_ns, p_15_19_yr_not_a_volunteer, m_25_34_yr_voluntary_work_ns
2106,2243,3630,2636,6492,1235,3770,12659,2770,2122,6822,3971,561,1266,8220,1966,41550,4496,10302,782,8251,829,26553,10313,193,13050,15491,1166,816,702,18020,91060,12503,3751,3295,389,960,909,4051,21935,180076,1174,10839,6167,5265,8577,8294,7745,2144,9413,22338,3989,7750,3458,16473,2600,4200,2687,11095,8609,32731,2170,8371,11043,22889,8643,4414,1535,4532,16485,431,3763,31504,2573,272,459,89016,12921,6472,1180,1576,8158,59569,1237,16797,13249,1409,120509,1147,25417,1413,6426,16398,1627,8223,"Capital Region",5022,1502,1403,18663,3789,989,3747,16013,20614,4169,810,1382,10364,1407,7443,1310,2719,"101",13507,60942,5345,16249,11293,906,8550,1215
2995,4579,7419,2679,10117,1158,6913,19930,3203,2073,11976,7548,596,1443,14309,3866,46102,7666,16430,1479,14115,817,36591,15930,283,19339,21054,1642,1436,753,20591,139707,19032,3232,6407,741,1232,1098,7258,32304,267307,2219,16823,9808,10278,14582,8690,14468,2252,9725,35278,4054,13618,3073,28425,2573,7037,3298,15476,10864,42364,2763,15503,17244,26192,12759,4156,1570,4884,22308,557,3804,43630,3438,355,634,127602,20343,8290,1259,2018,7385,102652,1330,28836,21691,1802,200617,1756,39376,1315,9718,26383,2556,14256,"Central Coast",8908,1756,1342,19909,4991,1153,4785,22575,32366,8464,1119,2843,18174,1418,7122,1672,3087,"102",17251,97968,9267,20057,18037,965,14919,1105
2011,2332,3605,2536,6692,1343,4005,13093,2649,2438,6696,4255,854,1134,8298,1824,36958,4567,8871,581,8280,908,22483,8947,195,11170,13358,1219,1058,874,18721,83644,11614,2950,3247,357,898,962,4131,17787,165251,940,8671,6398,5075,7734,6527,8255,2307,10121,23097,3277,6612,2669,16583,2667,3772,2532,9119,8598,26773,2313,7844,11580,20697,7274,3498,1783,3591,13329,531,2930,27016,2611,331,521,81605,12040,6249,1189,1764,6449,54354,1160,15094,12507,1396,109570,1111,23652,1482,5812,13883,1923,7364,"Central West",5590,1514,1371,16257,3721,1383,4084,13652,17820,4066,867,1270,11564,1373,5943,1284,2655,"103",11313,55225,5972,13438,11515,906,8701,1533
1483,1798,2903,1717,4155,608,2214,8016,1816,1112,5139,2422,318,789,4851,1528,23361,2967,6618,565,4750,487,17629,6060,104,8834,8529,700,518,429,10810,58077,6994,2181,2526,318,644,530,2696,14732,112427,879,7437,3863,4052,5018,4079,4630,1141,5451,12753,2582,5454,1936,9604,1409,3131,1367,7295,5360,21286,1199,6401,6218,13264,6061,2658,919,2325,10882,234,1755,18165,1434,171,268,54349,7695,3425,692,843,4838,39448,786,10125,9702,737,78256,841,14690,711,4559,11519,945,5106,"Coffs Harbour - Grafton",2963,1031,933,10095,2059,553,2038,9637,12679,3272,434,1111,6135,799,4513,796,1603,"104",8799,38803,3173,10403,6535,484,5663,631
1097,1248,1968,1672,3333,802,2337,6502,1385,1762,3652,2381,488,534,5041,1033,19504,2308,4718,290,4799,496,11821,4797,110,5769,7369,527,511,422,11364,46226,6213,1550,1708,205,493,651,2138,10270,91150,492,4974,3171,2741,3953,3741,4720,1456,6070,14006,1639,3406,1263,9839,1651,2066,1453,5297,5298,15305,1416,4262,6823,10983,4011,1811,915,2064,7581,328,1683,14907,1139,174,282,44921,6444,3366,760,998,3357,29946,795,7836,6744,613,60281,598,12659,892,3100,7413,915,3886,"Far West and Orana",3184,852,878,8517,1908,823,2408,7539,9518,2195,401,720,6453,781,2907,722,1507,"105",6055,30332,3277,7720,7181,732,4446,1027
1979,2511,3897,2526,8419,1473,5890,16410,2292,2657,7261,6096,731,1018,12423,1877,36915,6493,12843,595,12184,825,27320,12778,161,13703,17085,1103,1065,759,18586,106875,16132,2714,3341,333,912,1007,5889,24887,210150,929,12359,7993,5219,11943,6590,11982,2483,9853,31603,3243,9122,2692,24612,2574,4481,2717,12524,8732,33575,2548,9401,15527,20993,9612,3446,1583,3691,17015,478,2897,34777,2448,236,392,103276,16340,6856,1163,1790,6162,77147,1209,23143,13680,1343,154647,1070,32481,1410,6416,18733,1896,11196,"Hunter Valley exc Newcastle",7437,1278,1314,15921,4142,1210,4337,17691,25618,4917,827,1385,15088,1306,5940,1342,2650,"106",13615,77501,7650,16557,16078,1106,12384,1555
2089,3544,5662,2112,9720,1014,7327,18979,2373,2084,9355,8617,620,1053,14096,2721,43809,7358,14426,804,14404,656,28043,14237,180,14464,18897,1702,2074,635,16294,122829,18022,3106,4612,426,911,869,6620,27425,239730,1225,14092,9264,7332,13728,7742,15952,1886,8007,35895,3224,10029,2710,28507,2116,5745,3274,13339,8289,36239,2968,12601,17870,24285,9806,3591,1292,4202,18721,588,3539,38525,3715,260,439,116898,18770,7905,996,2345,6692,90261,1042,27008,17066,2008,179628,1179,36792,1120,7707,19836,3700,13277,"Illawarra",9989,1322,1072,19528,4630,1204,5308,19629,28666,6859,1624,2116,20855,1065,5929,1223,2283,"107",13576,89359,10863,17511,18027,967,13978,1120
2734,3400,5547,2557,5993,842,3167,11701,3345,1545,9547,3341,448,1453,6703,3030,36461,4217,9769,1002,6266,768,32942,9240,259,16619,13038,1014,689,675,17639,91932,9892,3259,4718,620,1243,727,3823,23186,177488,1624,11820,5706,7749,7075,6039,6505,1563,8875,17264,4434,10575,3559,12970,2190,6013,1968,11369,8762,33119,1608,12183,8293,20612,11178,4117,1442,3380,17167,336,2654,27232,2218,317,582,85557,10824,4938,1045,1139,7371,62559,1224,14207,18262,1204,123393,1490,20710,1148,8711,21755,1230,7130,"Mid North Coast",4197,1886,1329,15844,2965,790,2748,14187,19002,6171,540,2148,8522,1588,7996,1602,3188,"108",16324,60843,4327,15954,8973,664,8038,887
1316,1379,2246,1482,3514,534,2199,6902,1653,1105,4140,2323,316,705,4360,1264,23564,2257,4650,381,4392,446,13722,4599,126,6811,7264,804,634,365,9786,48220,6199,1935,1939,274,592,513,2075,10651,94353,654,5256,3393,3208,4024,4374,4518,1049,4917,12415,2026,4034,1605,8750,1224,2351,1643,5395,4871,16327,1460,4817,6053,13087,4520,2255,810,2351,8236,290,2023,14843,1753,182,308,46131,6635,3921,583,1095,4191,30259,728,7876,7784,948,61001,722,12838,646,3652,8553,1185,3850,"Murray",3128,950,753,10478,2278,609,2558,7578,9245,2460,549,865,6312,791,3629,750,1541,"109",6909,30736,3184,8087,6358,539,4337,563
1862,1920,2926,2412,5990,1041,3682,11589,2563,1929,6054,3828,529,1090,7103,1470,35530,3931,7445,586,7112,872,19976,7451,173,9993,11444,1190,1059,758,16213,74766,9806,2757,2780,282,824,874,3485,15940,145922,868,7819,5599,4248,6329,6339,7507,1918,8192,20212,3165,5684,2543,14216,2159,3309,2438,8120,8023,24436,2361,6857,9850,19869,6217,3322,1626,3457,12279,528,2885,23405,2554,281,454,71154,10454,5815,1051,1705,6079,46882,1140,12526,11283,1364,94185,1034,20263,1104,5229,11902,1938,6205,"New England and North West",5270,1468,1275,15658,3381,1059,4068,11957,14901,3549,878,1008,10511,1225,5703,1145,2375,"110",9980,47302,5234,12152,10370,898,7407,1035
2677,4417,6977,2510,11055,1125,9214,21430,3235,2303,11526,10128,610,1485,18230,3517,53852,8739,17509,1672,18736,665,36273,17256,259,18906,22834,1651,2463,539,19480,152388,21580,3673,6408,707,1099,926,7734,34563,295691,2373,17610,10367,9928,16473,9378,19344,2047,9446,46339,4220,13300,3485,36966,2420,6666,3987,16950,10030,45143,3928,14861,23140,30062,12556,4398,1210,5158,23227,605,4222,46563,3749,318,574,143301,22753,9725,1065,3143,8070,112298,1211,32562,20775,2094,222360,1584,44331,1354,9251,25857,4342,16087,"Newcastle and Lake Macquarie",12279,1747,1303,23786,5740,1215,7072,23735,34770,8195,1882,2556,24899,1325,7707,1386,2713,"111",17365,110069,12627,21925,23199,1041,16473,1261
2447,3463,5660,3395,7042,1174,3818,13774,3089,2000,8968,4116,555,1243,8392,3063,42165,5003,11272,1101,8103,889,29358,10869,237,14705,15674,1158,894,783,20481,103343,13062,3760,4981,623,1072,1197,4560,25316,198521,1730,12799,6731,8042,9247,7939,7925,2376,10050,22204,4127,9142,3152,16497,2903,5262,2640,12518,10426,37248,2175,11016,10669,24362,10004,4774,1673,4599,19231,477,3341,32981,2544,417,652,95176,14706,6789,1439,1531,8528,68558,1655,18604,16550,1391,135874,1371,27770,1461,7585,19144,1628,9358,"Richmond - Tweed",5186,1847,1740,17799,4147,1035,3707,17307,22143,5753,732,2203,10593,1496,7284,1436,2928,"112",14655,67319,5403,18015,11534,967,9562,1034
1494,1767,2790,1916,5286,1075,3517,10148,1993,1797,4883,3669,549,851,6882,1425,29072,3650,6332,539,6890,624,15046,6391,134,7601,9956,1015,939,529,13386,63034,9120,2330,2528,267,684,703,3192,13015,124846,806,6412,4862,3951,5940,5338,7184,1780,7281,18982,2433,4355,1917,13769,1819,2647,2110,6601,6109,19828,1905,5577,9501,15983,4638,2562,1160,2831,9871,364,2506,19887,2150,223,358,61810,9060,4916,763,1502,4892,40942,889,11488,9060,1137,82383,811,18179,1055,4180,8995,1667,5546,"Riverina",4821,1143,1027,13090,2807,912,3410,9933,12731,2928,729,1019,9761,895,4346,817,1710,"113",7442,41443,4940,9958,9477,687,6844,1113
1659,1884,3191,1641,4149,779,2337,8322,2571,1233,6275,2665,388,1194,5019,1843,25796,3034,6693,626,5009,530,22062,6325,162,11320,8951,586,473,439,11867,63242,7371,2187,2743,374,757,515,2872,15365,122671,1005,7916,4177,4588,5210,4229,5002,1294,6206,13270,3200,7142,2568,10028,1495,3847,1388,7452,5663,21971,1131,7842,6668,14611,7199,2775,967,2415,11510,242,1815,18747,1454,239,396,59435,7765,3525,687,877,4962,42966,821,10323,12069,868,85011,905,15139,814,5793,14338,884,5109,"Southern Highlands and Shoalhaven",3046,1374,816,11185,2136,623,2010,9798,13019,3992,411,1302,6505,976,5765,985,1957,"114",10740,42044,3456,10459,6606,456,5909,777
773,1828,2919,1124,8631,593,4828,16623,1623,971,4715,5699,284,769,9127,1458,39334,6351,12028,530,9138,455,20102,11973,142,10240,16492,1821,1733,405,8634,92620,15195,2765,2541,233,337,596,5420,21022,180785,764,10684,7991,4003,11511,8439,10528,1183,4191,22958,2354,7359,1997,18264,1402,3144,3094,10340,4444,27940,2099,6568,11229,21953,7352,3029,860,4662,14264,228,3778,33842,3997,181,322,88161,16993,7958,660,1626,5800,66227,552,23044,8963,2170,132813,436,32188,740,4248,14705,3128,11533,"Sydney - Baulkham Hills and Hawkesbury",6791,855,568,17383,4865,511,3724,17354,24000,3427,1396,1084,14165,513,4348,532,1046,"115",9857,66588,7380,13680,11728,501,11769,470
1074,1993,3021,2131,12132,1720,8550,23419,830,3469,5377,9558,883,374,22054,1258,36881,9480,16598,265,20731,952,21714,16488,54,11251,21004,1703,1933,798,17857,133145,26075,1956,2314,181,459,1399,8396,27527,262316,442,14026,11288,3575,20367,6667,18106,3118,9424,52724,1387,8900,1186,42783,2586,3526,3986,13500,8436,33933,3603,7837,25495,20268,8461,2319,1748,3598,17406,628,3070,42341,3799,58,110,129170,25834,8807,1141,2866,4276,104439,1062,39976,9736,2090,207572,616,51901,1449,4358,17361,3346,19614,"Sydney - Blacktown",11113,452,1064,16615,4824,1515,6465,21335,33085,4313,1413,1026,22967,813,2576,967,1778,"116",10468,103131,11857,16527,27228,1561,17876,1904
1374,1589,2587,2989,6194,3259,13817,13077,879,11146,4790,12452,2398,390,32529,1315,45459,4398,11062,459,34797,750,17164,13860,64,8520,19344,1049,3771,742,33869,139665,27940,2006,2111,255,694,2352,4709,18857,285297,713,8972,6881,3426,20687,6525,26267,5610,18495,92073,1405,6171,1230,67329,3882,3182,3987,9879,15378,26163,7425,6795,46994,24876,6296,2314,1490,3392,12624,2201,3129,35329,2479,65,128,145631,23881,8571,1529,6180,4316,99413,1332,37640,9046,1433,205970,686,51826,2345,4263,12470,6322,16949,"Sydney - City and Inner South",19788,490,1653,20581,4586,4601,13602,15986,24928,3616,2548,996,37189,1118,2635,946,2059,"117",8642,106555,17399,13538,45084,5124,9101,6025
1584,3030,4790,2302,6741,2215,7600,13370,1543,5957,6530,7676,1181,673,20148,2306,43380,4366,10922,757,18828,627,20072,11083,175,10629,16142,1746,2510,509,23492,117535,20517,2240,4037,359,686,1806,4092,17860,226282,1115,9245,6636,6342,14777,7875,15276,4025,12167,53164,2096,7464,1601,38974,3011,3832,3523,8614,11325,25087,4713,8585,25470,24484,6739,2684,1141,4490,13031,1000,3387,32892,3774,259,432,108747,21123,8360,1339,3515,4924,81723,1103,29259,11718,2030,159408,903,41635,1668,5187,14201,4538,14479,"Sydney - Eastern Suburbs",11105,872,1197,18897,4837,2179,8230,16745,22007,4753,2036,1766,21998,1105,3699,1074,2177,"118",9442,77683,10893,12049,27691,2833,8458,3123
2689,6752,10927,3708,17553,2541,15815,34280,2375,6621,14883,17413,1384,1045,38884,5108,57004,13718,29022,1193,39487,1346,42634,28335,227,21767,34974,2491,3101,1187,32657,236840,38398,3209,8313,706,1202,2344,12269,50353,464334,1893,25843,16732,13419,31305,9979,33225,4888,16276,94731,2789,17371,2268,78366,4436,10109,4555,24512,16381,61067,5335,22171,47360,31891,17051,3805,2535,5590,31514,1343,4394,71779,5763,369,598,227488,39201,10853,2192,4409,7011,188570,1865,61862,27238,3273,374669,1484,77600,2242,12355,34418,5629,30557,"Sydney - Inner South West",20261,1331,1846,25110,6299,2732,9737,36805,57363,12062,2533,4174,41586,1543,5059,1611,3159,"119",20866,186100,21322,29558,47374,3158,25988,3461
1058,3322,5233,2023,6943,1600,8376,13724,1339,4566,6892,8914,914,560,22208,2259,42673,4878,14091,408,22488,524,21016,13524,107,11165,18323,1548,2147,433,18198,128189,21916,2393,3896,236,475,1546,4630,23005,247072,652,12008,6775,6153,16729,8488,17293,3146,9090,56865,2025,8368,1598,44691,2518,4520,3588,10996,9111,30476,4245,10046,28205,24350,7518,3056,951,4958,16098,859,3530,38627,3261,166,269,118885,23012,8853,1259,3367,5451,94730,1031,32928,12447,1718,186205,586,44928,1261,5554,15882,3773,16199,"Sydney - Inner West",11388,781,993,18324,5260,1776,7613,20302,27622,5529,1624,1912,22842,734,3621,775,1505,"120",9855,91473,11456,14384,28660,2211,9508,2350
1445,4966,7815,2236,12144,1627,7748,23610,4346,3771,10499,8074,614,2007,22680,3699,80929,7836,18625,957,21038,665,34053,18316,420,18195,27091,3652,2851,558,19244,174176,29935,5154,6440,430,588,1618,6834,31026,330375,1391,16200,11465,10139,22101,17555,15817,3251,9116,56816,4988,12143,4109,43719,2705,5992,6209,14835,10124,44459,5320,13297,26916,45727,10848,6039,1222,10121,23393,659,7433,57205,7718,516,933,156196,32918,15684,1368,4004,11189,118322,1154,43920,19085,4071,230203,855,62855,1343,8585,22989,5067,21815,"Sydney - North Sydney and Hornsby",11258,2337,1079,35198,9478,1270,9323,30116,36938,7304,2214,2848,22159,896,9099,1058,1959,"121",15857,111875,10897,21063,29900,1894,14667,1878
1377,3289,5116,1587,7481,1051,4480,14412,2384,1907,7121,5051,373,1097,11926,2456,44525,5341,12312,912,11359,468,22440,12465,264,11773,18234,1677,1226,385,13175,105173,18525,3067,4489,367,590,994,4606,20499,203023,1281,10534,6932,6945,13815,10735,9532,2047,6253,29575,2739,8189,2403,23284,1886,4277,3659,9966,6924,28419,2499,9321,14200,24637,7600,3278,851,5939,14581,371,4793,37397,3618,288,550,97849,19671,9093,908,1880,6337,73615,775,27063,13078,1943,145319,790,38197,976,5965,15791,2285,13245,"Sydney - Northern Beaches",6074,1287,813,19896,5433,743,4378,19163,24778,5039,1061,1825,12554,664,5141,844,1505,"122",10672,71699,6485,13842,15379,949,9944,964
1145,1433,2211,1779,9308,1060,6979,18115,1014,2259,4505,7328,606,473,15524,1090,30347,7268,13411,557,14717,746,19726,12801,64,10047,16276,1288,1386,698,14209,105160,17744,2019,2083,254,489,1009,6635,23634,204085,811,12108,8803,3174,14047,5584,14304,2066,6897,36961,1664,7534,1403,30247,1890,2818,2639,11525,7308,29869,2604,6119,17708,17078,7471,2440,1440,3046,15453,550,2540,33690,2765,92,156,98925,18683,6460,953,1849,4453,80778,907,27900,8285,1472,159530,658,36430,933,3776,15001,2389,13855,"Sydney - Outer South West",8917,542,872,13271,3821,1156,4457,17410,26212,3304,997,778,17847,803,3072,853,1659,"123",9674,78754,8928,14415,19256,1123,13903,1136
1319,2429,3668,2226,10372,1444,7795,20179,1836,3033,6533,8215,751,810,16945,1557,41181,7951,15474,395,16682,764,26357,14824,105,13582,19488,1658,1538,703,17311,126160,20265,2933,3017,217,541,1230,7211,29006,244791,611,14944,9806,4571,15594,7579,16013,2672,8702,42089,2856,9640,2360,33626,2523,3865,3233,14069,8611,37803,3162,8589,20562,23149,9471,3637,1466,4220,19675,686,3356,40393,3559,188,293,118630,21095,7865,1216,2266,6568,94397,1099,30828,11739,1895,186295,779,41356,1309,5209,19108,2852,15232,"Sydney - Outer West and Blue Mountains",10019,1026,1126,18034,4632,1436,5425,20906,30295,4730,1317,1234,20301,937,5212,1089,2027,"124",12772,91896,10285,18122,21524,1417,15158,1616
1649,3955,6192,2982,12809,3005,11209,24671,1757,7555,8903,13561,1602,809,34322,2761,48009,10031,20159,650,36554,991,28819,20431,168,14710,26073,1791,2476,833,28728,177642,35053,2733,4823,362,726,2100,8870,34608,359916,1007,17634,11862,7583,27572,8039,24777,5109,15661,87999,2152,11502,1780,70878,3734,6002,4477,16974,13067,43343,5139,13026,45289,26010,11252,3021,1823,4406,22042,1145,3632,52359,3946,222,383,182276,31472,9960,1722,4432,5758,138566,1390,51459,16438,2154,283176,925,66525,2007,7531,22752,4668,23886,"Sydney - Parramatta",14832,951,1589,21998,5489,2740,9567,26289,40588,7033,2190,2240,32185,1074,3930,1059,2132,"125",14106,144611,17356,21299,42711,3247,18899,4307
647,2522,4011,847,5813,599,5220,10835,1597,1486,4845,5443,324,705,11551,1790,32256,4019,8268,371,11390,277,13945,8077,151,7230,11332,1522,1606,235,7475,78304,12622,2061,3141,162,268,515,3366,14988,151220,531,7838,5016,4930,9571,6351,10664,1117,3634,28852,1680,5166,1457,22945,934,2819,2456,7148,3839,20279,2417,6397,14151,17851,4920,2381,517,3591,10656,340,2756,23636,2934,244,392,72914,13242,6073,438,2009,4447,56614,432,18681,8639,1414,111485,376,25863,497,3795,10082,2908,9108,"Sydney - Ryde",7170,893,416,14409,3618,663,4423,12304,16347,3578,1301,1482,14231,343,3137,382,726,"126",6720,54867,7067,9627,14699,733,7386,754
1474,2983,4809,3049,15029,1942,11644,29037,910,4273,8087,12585,1126,392,24881,2111,32067,12184,22525,369,23754,1215,27920,22494,61,14236,26931,1626,2029,1090,23538,163744,26659,1822,3432,230,666,1886,10683,38365,320571,594,19497,14007,5545,22209,5621,24228,3830,11884,58131,1316,11781,1107,48635,3638,5760,2513,18875,11661,45607,2976,12513,28174,18279,11481,2359,2310,3093,23386,999,2532,54282,3859,82,140,156827,28617,6178,1733,2251,4183,133810,1533,45274,14897,2231,264960,814,55278,1911,6809,23264,3528,23068,"Sydney - South West",14665,524,1524,13788,3664,2125,5228,27349,45017,6756,1498,1820,29874,1095,2422,1141,2236,"127",13680,131154,15205,22217,29957,2106,22865,2171
855,3156,4871,1229,6716,704,4728,13095,1887,1322,6079,5232,272,843,10731,2123,33745,5146,11049,383,10428,340,19937,10713,210,10370,14637,1233,1198,339,8840,91312,14583,2378,3824,201,353,648,4539,20983,176329,577,10746,6373,5949,11209,7154,9955,1346,4296,26178,2122,7712,1839,21155,1272,3764,2676,10236,4539,27203,2075,8298,12708,18696,7230,2613,677,3893,13966,255,3264,30190,2724,286,496,85021,15494,6640,611,1625,4991,68076,603,22088,11043,1497,133743,500,30079,657,4962,14943,2186,10884,"Sydney - Sutherland",6176,1046,624,15055,3963,524,3701,15550,21760,4533,991,1708,12667,493,3954,537,1036,"128",9563,65666,6492,13236,13476,669,9688,654
1311,1881,2814,1678,4948,696,3429,9654,1731,1273,4783,3682,384,803,6604,1291,29810,3437,7219,401,6471,496,17469,6798,117,8929,10223,1011,1111,459,11324,66545,9046,2411,2456,232,568,598,3047,14465,128519,631,7412,4705,3745,6339,5648,7106,1298,5672,17520,2487,5556,2112,13073,1626,2729,2006,7057,5648,21334,1774,5840,8530,16476,5511,2774,952,3082,11020,355,2565,21290,2217,179,297,61973,9704,4934,766,1400,5194,44426,836,12513,8886,1208,87384,741,18747,857,4100,11069,2018,6178,"Ballarat",4900,933,845,13336,2924,741,3172,11065,14019,3109,908,941,9873,922,4596,886,1806,"201",8547,42960,4971,10317,8982,613,6486,663
1443,1736,2723,1710,4748,799,3219,9372,1879,1511,4759,3360,384,887,6300,1457,31094,3227,6676,581,6070,551,16603,6247,169,8472,9833,974,1111,493,12101,64603,8736,2569,2500,292,653,675,2978,13702,124780,875,6986,4627,3961,5816,5886,6581,1471,6214,17108,2639,4986,2235,12373,1661,2580,2121,6718,5889,20946,1799,5558,8364,17190,5043,2969,1043,3211,10756,304,2672,20471,2128,185,353,60173,9480,5245,752,1433,5532,41529,799,11494,8878,1148,81590,791,18211,912,4118,10029,1970,5674,"Bendigo",4634,994,909,13902,3128,683,3225,10643,12932,2977,857,994,9235,858,4876,842,1697,"202",8128,40057,4598,10195,8738,645,6201,869
1997,3564,5556,2432,8752,1337,6052,17118,3040,2477,8547,6818,666,1423,13149,2667,49204,6193,12868,784,12703,738,28527,12222,225,14941,17491,1821,1887,659,17871,117970,17300,3646,4657,447,845,966,5542,24970,227122,1230,13040,8363,7326,12545,9003,12869,2298,9193,34086,3967,9725,3378,25851,2376,4693,3416,11932,8677,35106,3273,10470,16643,27347,9004,4070,1402,5026,18329,544,3975,36470,3981,314,535,109156,18239,8461,1082,2489,7708,81946,1218,24778,15504,2164,160055,1152,35537,1293,6955,18728,3371,12228,"Geelong",8475,1615,1213,21852,5040,1212,5758,18979,25093,5780,1489,1990,17452,1206,7343,1249,2453,"203",13587,78106,8977,16783,17444,1026,11735,1452
1606,1971,3171,2106,5382,835,2839,10287,2389,1396,5576,3433,396,1089,6303,1754,36141,3534,7416,595,6117,670,20812,7153,187,10378,11323,1179,741,623,13658,71384,9220,3305,2840,364,735,729,2949,16175,139788,964,8161,4909,4590,5992,6916,6274,1559,6884,17119,3323,5998,3013,12429,1873,3155,2390,8020,6771,25285,1859,6564,8309,19572,6350,3696,1299,3707,12854,331,3211,23366,2508,272,462,68406,10058,5737,919,1434,7000,45037,999,11986,10558,1335,89997,867,19275,951,4982,12350,1493,5990,"Hume",3914,1298,1104,16565,3344,733,3299,12040,14570,3408,755,1199,8501,1064,6335,1063,2124,"204",10432,44955,4583,12425,8811,637,6480,755
2923,3140,5048,3468,8033,1362,4801,15423,3936,2576,9486,5099,700,1818,10407,2763,52406,5616,11926,947,10121,1006,35293,11554,297,17673,17348,1407,1241,841,22944,114826,14169,4606,4489,550,1293,1137,5005,26744,223600,1504,13606,7394,7251,9495,9323,9896,2500,11663,28423,5212,10643,4427,20527,3115,5522,3318,13140,11283,40282,3089,11260,13812,29051,11297,5470,1850,5175,20800,602,4147,35918,2950,401,701,108772,15166,8119,1464,2228,10073,74496,1726,18723,18127,1550,148249,1631,29340,1646,8637,21944,2344,9231,"Latrobe - Gippsland",6639,2115,1743,23351,4802,1299,5319,18570,23485,5737,1104,1909,13540,1896,9638,1823,3718,"205",17619,73755,6900,19485,14612,1107,10620,1464
2443,4524,7352,4800,12815,4458,24027,27570,2523,15937,11181,21509,2906,1133,57847,3585,104990,8966,21800,968,57531,1291,34506,22644,239,17939,32810,2563,8591,1396,51348,272543,45141,4924,5790,517,1088,3934,9788,34948,524285,1487,17888,14754,9372,32676,15967,45542,8397,25590,159836,4025,12185,3256,115371,5933,6552,8001,17061,25759,50874,16359,14991,77711,60146,11547,6197,2686,8906,26459,3273,7060,66343,6132,299,535,251741,44880,18806,2828,12163,11125,186644,2371,62821,19956,3569,367954,1350,90017,3101,8773,23733,14090,30140,"Melbourne - Inner",35890,1392,2428,44838,10803,6179,28531,33541,44443,8441,5503,2828,65808,1773,7282,1724,3500,"206",16573,181310,29922,24417,82124,7913,18752,8021
