sex_ratio, sa2_name16, state_code, percentage_person_aged_15_64, persons_num, percentage_person_aged_0_14, females_num, sa2_main16, percentage_person_aged_65_plus, median_age, state_name, males_num
98.4,"Mill Park - South",2,68.8,12404,16.7,6252,209041221,14.5,37.5,"Victoria",6152
93.6,"Airport West",2,64.1,8559,16.7,4422,210011226,19.2,39.6,"Victoria",4137
101.9,"Thomastown",2,62.9,21603,16.4,10699,209041223,20.7,38.6,"Victoria",10904
100.7,"Wallan",2,66.8,19654,24.2,9791,209041224,9.0,33.7,"Victoria",9863
102.1,"Whittlesea",2,63.3,8911,19.7,4410,209041225,17.0,39.9,"Victoria",4501
96.6,"Doreen",2,65.4,26712,27.8,13590,209041430,6.8,31.8,"Victoria",13122
96.3,"South Morang (South)",2,67.8,12716,19.7,6478,209041436,12.4,36.2,"Victoria",6238
99.1,"Wollert",2,66.6,16073,28.9,8071,209041437,4.5,30.9,"Victoria",8002
100.2,"Keilor",2,59.8,9113,16.7,4552,210011228,23.5,44.1,"Victoria",4561
94.9,"Keilor East",2,59.9,28673,17.0,14713,210011229,23.1,42.3,"Victoria",13960
92.4,"Niddrie - Essendon West",2,66.2,7748,18.6,4028,210011230,15.1,38.8,"Victoria",3720
98.9,"Strathmore",2,64.9,10474,19.1,5266,210011231,16.0,40.6,"Victoria",5208
98.4,"Gisborne",2,61.4,14211,23.7,7162,210021232,14.8,39.5,"Victoria",7049
101.7,"Cranbourne",2,66.2,21309,21.0,10565,212031300,12.8,34.6,"Victoria",10744
96.9,"Cranbourne East",2,66.1,49199,28.0,24981,212031301,5.9,30.5,"Victoria",24218
110.9,"Macedon",2,58.9,3611,21.2,1712,210021233,19.9,44.9,"Victoria",1899
93.2,"Riddells Creek",2,64.7,4319,19.8,2236,210021234,15.5,41.9,"Victoria",2083
101.7,"Romsey",2,63.6,10288,20.5,5100,210021235,15.9,41.4,"Victoria",5188
96.5,"Coburg North",2,69.0,8866,18.0,4511,210031236,13.0,36.2,"Victoria",4355
107.6,"Fawkner",2,62.1,15280,22.1,7359,210031237,15.8,34.2,"Victoria",7921
104.7,"Glenroy",2,68.0,24986,18.4,12204,210031438,13.7,33.6,"Victoria",12782
97.3,"Pascoe Vale",2,69.1,26957,17.7,13662,210031239,13.2,35.7,"Victoria",13295
95.1,"Gowanbrae",2,65.0,3129,20.7,1604,210031439,14.3,38.7,"Victoria",1525
110.8,"Broadmeadows",2,66.6,14574,21.7,6914,210051242,11.7,32.4,"Victoria",7660
96.8,"Meadow Heights",2,67.2,15770,22.7,8013,210051247,10.1,31.9,"Victoria",7757
145.6,"Melbourne Airport",2,91.2,194,0.0,79,210051248,8.8,39.5,"Victoria",115
104.3,"Campbellfield - Coolaroo",2,62.9,17205,22.3,8421,210051243,14.9,33.7,"Victoria",8784
96.2,"Gladstone Park - Westmeadows",2,64.0,18732,17.3,9548,210051245,18.7,40.3,"Victoria",9184
100.4,"Greenvale - Bulla",2,70.2,20176,19.9,10068,210051246,9.8,34.3,"Victoria",10108
90.2,"Croydon South",2,64.4,4950,18.9,2602,211031452,16.6,38.7,"Victoria",2348
98.7,"Roxburgh Park - Somerton",2,68.5,25060,24.6,12615,210051249,7.0,29.9,"Victoria",12445
100.8,"Tullamarine",2,65.9,6842,15.6,3408,210051250,18.5,38.7,"Victoria",3434
103.5,"Craigieburn - Central",2,67.7,8840,21.9,4343,210051441,10.5,34.1,"Victoria",4497
104.5,"Craigieburn - North",2,67.4,13337,27.9,6521,210051442,4.8,30.3,"Victoria",6816
102.6,"Craigieburn - West",2,66.6,20202,28.6,9970,210051444,4.8,30.3,"Victoria",10232
100.2,"Mickleham - Yuroke",2,66.3,11227,29.4,5608,210051445,4.2,29.2,"Victoria",5619
95.4,"Bayswater",2,65.9,13071,16.7,6689,211011251,17.4,37.4,"Victoria",6382
97.4,"Knoxfield - Scoresby",2,66.6,17194,18.6,8711,211011254,14.8,37.3,"Victoria",8483
103.5,"Craigieburn - South",2,69.6,20617,24.4,10131,210051443,6.0,31.5,"Victoria",10486
100.3,"Lysterfield",2,73.5,7023,17.8,3507,211011255,8.7,37.8,"Victoria",3516
97.4,"Rowville - North",2,67.4,8372,19.6,4242,211011257,13.0,39.2,"Victoria",4130
99.2,"Rowville - South",2,69.1,10966,17.5,5505,211011258,13.4,39.8,"Victoria",5461
94.0,"Wantirna",2,62.7,14643,18.1,7548,211011259,19.2,40.2,"Victoria",7095
95.1,"Wantirna South",2,65.1,18995,15.0,9735,211011260,20.0,41.5,"Victoria",9260
95.7,"Rowville - Central",2,69.7,15920,17.0,8135,211011256,13.3,38.4,"Victoria",7785
95.3,"Boronia",2,65.1,23734,17.3,12154,211011446,17.6,38.4,"Victoria",11580
99.0,"Ferntree Gully (North)",2,64.3,14642,17.7,7357,211011447,18.0,39.4,"Victoria",7285
96.5,"Croydon Hills - Warranwood",2,66.9,18847,19.4,9589,211031265,13.7,39.2,"Victoria",9258
96.4,"Ringwood",2,66.3,18861,17.6,9604,211031266,16.1,37.0,"Victoria",9257
98.9,"Ferntree Gully (South) - Upper Ferntree Gully",2,66.7,15478,18.4,7783,211011448,14.8,38.4,"Victoria",7695
97.5,"Ringwood East",2,64.3,21744,19.0,11011,211031267,16.7,38.7,"Victoria",10733
97.7,"Ringwood North",2,63.1,10076,19.4,5096,211031268,17.5,41.1,"Victoria",4980
101.1,"The Basin",2,66.0,4472,20.8,2224,211011449,13.3,38.2,"Victoria",2248
95.7,"Donvale - Park Orchards",2,63.4,16895,17.6,8632,211021261,18.9,42.9,"Victoria",8263
99.7,"Warrandyte - Wonga Park",2,66.6,10657,16.9,5336,211021262,16.5,44.0,"Victoria",5321
90.6,"Croydon - East",2,64.7,16543,18.7,8678,211031450,16.6,36.9,"Victoria",7865
92.5,"Croydon - West",2,61.9,14666,18.7,7620,211031451,19.4,38.9,"Victoria",7046
99.2,"Bayswater North",2,69.2,12517,18.6,6285,211031263,12.2,36.8,"Victoria",6232
90.6,"Forest Hill",2,64.0,11476,17.4,6021,211041269,18.6,39.9,"Victoria",5455
96.1,"Mitcham (Vic.)",2,65.7,17527,18.7,8938,211041270,15.6,37.9,"Victoria",8589
99.6,"Vermont",2,61.4,11310,21.7,5665,211041272,16.9,39.0,"Victoria",5645
94.3,"Vermont South",2,60.5,12388,16.0,6375,211041273,23.5,43.7,"Victoria",6013
98.1,"Nunawading",2,65.6,12925,17.9,6525,211041271,16.6,37.7,"Victoria",6400
98.5,"Belgrave - Selby",2,67.2,10414,20.1,5246,211051274,12.7,40.1,"Victoria",5168
97.6,"Chirnside Park",2,64.6,11383,18.7,5762,211051275,16.7,37.6,"Victoria",5621
98.2,"Healesville - Yarra Glen",2,62.1,14638,18.2,7386,211051276,19.7,42.7,"Victoria",7252
93.4,"Kilsyth",2,62.0,9833,18.4,5085,211051277,19.5,37.8,"Victoria",4748
95.8,"Lilydale - Coldstream",2,65.4,19860,18.2,10145,211051278,16.3,38.9,"Victoria",9715
100.7,"Monbulk - Silvan",2,63.1,5849,19.2,2915,211051279,17.7,42.6,"Victoria",2934
99.2,"Montrose",2,63.0,7138,18.7,3584,211051280,18.3,39.6,"Victoria",3554
99.3,"Mooroolbark",2,66.2,24057,19.5,12072,211051281,14.4,35.8,"Victoria",11985
102.4,"Mount Dandenong - Olinda",2,63.1,10197,18.5,5037,211051282,18.3,44.6,"Victoria",5160
95.7,"Pakenham - North",2,65.3,22657,25.4,11578,212011291,9.3,31.0,"Victoria",11079
101.1,"Mount Evelyn",2,66.3,10298,19.9,5122,211051283,13.8,37.1,"Victoria",5176
102.6,"Endeavour Hills - South",2,65.6,14044,18.2,6933,212021454,16.2,39.0,"Victoria",7111
102.5,"Lynbrook - Lyndhurst",2,67.8,17486,26.0,8636,212031306,6.1,33.0,"Victoria",8850
107.0,"Pearcedale - Tooradin",2,66.4,8176,19.4,3949,212031308,14.2,40.3,"Victoria",4227
99.3,"Upwey - Tecoma",2,67.8,10023,19.5,5029,211051284,12.7,40.0,"Victoria",4994
98.6,"Wandin - Seville",2,66.0,8067,19.9,4062,211051285,14.1,37.7,"Victoria",4005
101.2,"Yarra Valley",2,64.2,16836,18.9,8367,211051286,16.9,42.0,"Victoria",8469
98.7,"Beaconsfield - Officer",2,69.2,19859,23.0,9996,212011287,7.8,31.7,"Victoria",9863
100.2,"Bunyip - Garfield",2,63.2,9346,20.0,4669,212011288,16.8,41.7,"Victoria",4677
104.9,"Emerald - Cockatoo",2,65.5,18905,20.6,9225,212011289,13.9,40.7,"Victoria",9680
96.1,"Koo Wee Rup",2,63.2,8566,21.7,4368,212011290,15.2,35.8,"Victoria",4198
96.6,"Pakenham - South",2,64.1,33108,24.4,16842,212011292,11.5,33.1,"Victoria",16266
92.7,"Berwick - North",2,63.7,24176,17.3,12543,212021293,19.0,41.1,"Victoria",11633
99.4,"Berwick - South",2,67.0,29079,25.5,14581,212021294,7.5,33.8,"Victoria",14498
114.2,"Doveton",2,66.0,12274,19.4,5729,212021295,14.6,34.1,"Victoria",6545
103.2,"Hallam",2,66.0,11768,20.4,5790,212021297,13.6,35.2,"Victoria",5978
103.3,"Narre Warren North",2,68.3,8646,17.9,4252,212021299,13.8,39.3,"Victoria",4394
103.1,"Endeavour Hills - North",2,67.6,12500,17.9,6155,212021453,14.5,38.1,"Victoria",6345
104.4,"Narre Warren - North East",2,69.3,14195,19.9,6946,212021455,10.7,35.7,"Victoria",7249
101.4,"Narre Warren - South West",2,67.1,15009,20.2,7452,212021456,12.7,34.4,"Victoria",7557
98.7,"Cranbourne North",2,67.2,24904,25.6,12531,212031302,7.1,31.5,"Victoria",12373
98.3,"Cranbourne South",2,66.3,11972,22.2,6036,212031303,11.4,34.2,"Victoria",5936
101.3,"Cranbourne West",2,68.0,19755,26.6,9813,212031304,5.4,30.9,"Victoria",9942
106.0,"Hampton Park - Lynbrook",2,68.0,27656,22.0,13427,212031305,10.0,32.8,"Victoria",14229
103.2,"Narre Warren South (East)",2,68.9,13864,21.6,6824,212031457,9.5,35.3,"Victoria",7040
99.6,"Narre Warren South (West)",2,68.1,17860,24.1,8950,212031458,7.8,32.0,"Victoria",8910
101.2,"Clarinda - Oakleigh South",2,63.9,12340,15.0,6132,212041309,21.1,41.9,"Victoria",6208
108.4,"Clayton South",2,69.9,14288,15.5,6856,212041310,14.6,32.9,"Victoria",7432
115.3,"Dandenong",2,67.3,34295,19.7,15927,212041311,12.9,33.2,"Victoria",18368
104.8,"Dandenong North",2,64.4,23960,17.9,11702,212041312,17.7,37.5,"Victoria",12258
100.7,"Dingley Village",2,61.5,10753,18.0,5359,212041313,20.5,43.6,"Victoria",5394
106.6,"Noble Park - East",2,70.1,13620,16.6,6593,212041459,13.3,33.9,"Victoria",7027
98.7,"Keysborough",2,67.7,30889,19.5,15544,212041314,12.7,35.3,"Victoria",15345
107.6,"Noble Park North",2,64.2,7936,16.7,3823,212041316,19.1,39.8,"Victoria",4113
109.5,"Springvale",2,69.5,23915,15.3,11415,212041317,15.2,34.2,"Victoria",12500
102.0,"Springvale South",2,68.3,13408,17.3,6637,212041318,14.5,35.9,"Victoria",6771
101.8,"Noble Park - West",2,67.5,20178,17.4,9998,212041460,15.1,34.5,"Victoria",10180
98.8,"Ashwood - Chadstone",2,70.0,20606,16.4,10367,212051319,13.6,34.7,"Victoria",10239
104.5,"Clayton",2,85.7,27555,7.4,13474,212051320,6.9,24.9,"Victoria",14081
99.4,"Glen Waverley - East",2,61.9,22472,17.4,11269,212051321,20.7,40.6,"Victoria",11203
98.9,"Glen Waverley - West",2,67.2,20964,16.6,10542,212051322,16.2,37.6,"Victoria",10422
97.6,"Mount Waverley - North",2,64.6,16452,16.5,8327,212051323,19.0,39.7,"Victoria",8125
