r_75_99_lt_ste_terr_hsg_auth, r_450_549_lt_other_lld_type, r_275_349_lt_psn_not_sme_hhd, r_75_99_tot, r_550_649_lt_real_este_agent, r_150_199_lt_psn_not_sme_hhd, r_0_74_lt_ste_terr_hsg_auth, r_275_349_lt_ste_ter_hsg_aut, r_850_949_tot, r_200_224_lt_lld_type_ns, r_350_449_lt_other_lld_type, tot_lt_lld_type_ns, r_275_349_lt_lld_type_ns, r_100_149_tot, r_750_849_lt_ste_ter_hsg_aut, r_150_199_lt_real_este_agent, r_350_449_lt_ste_ter_hsg_aut, r_950_over_tot, r_750_849_lt_psn_not_sme_hhd, r_275_349_tot, r_550_649_lt_lld_type_ns, r_75_99_lt_lld_type_ns, r_950_over_lt_psn_not_sme_hhd, r_650_749_lt_ste_ter_hsg_aut, r_225_274_tot, r_100_149_lt_lld_type_ns, rent_ns_lt_hs_coop_com_ch_g, r_750_849_lt_real_este_agent, r_0_74_lt_other_lld_type, r_850_949_lt_lld_type_ns, r_150_199_tot, r_450_549_lt_psn_not_sme_hhd, r_950_over_lt_other_lld_type, r_0_74_lt_hs_coop_com_ch_g, r_150_199_lt_ste_ter_hsg_aut, r_450_549_lt_ste_ter_hsg_aut, r_550_649_lt_other_lld_type, r_225_274_lt_lld_type_ns, r_100_149_lt_hs_coop_com_ch_g, r_150_199_lt_other_lld_type, r_350_449_lt_real_este_agent, r_75_99_lt_hs_coop_com_ch_g, r_100_149_lt_psn_not_sme_hhd, r_225_274_lt_psn_not_sme_hhd, tot_tot, r_100_149_lt_st_ter_hsg_aut, r_450_549_lt_hs_coop_com_ch_g, r_0_74_lt_lld_type_ns, r_150_199_lt_lld_type_ns, rent_ns_lt_psn_not_sme_hhd, r_200_224_lt_ste_ter_hsg_aut, rent_ns_lt_ste_ter_hsg_auth, r_750_849_lt_lld_type_ns, r_350_449_tot, tot_lt_real_este_agent, r_75_99_lt_other_lld_type, r_75_99_lt_psn_not_sme_hhd, r_75_99_lt_real_estate_agent, r_0_74_lt_real_estate_agent, r_750_849_tot, r_0_74_tot, r_650_749_lt_lld_type_ns, rent_ns_lt_real_este_agent, r_950_over_lt_ste_ter_hsg_aut, r_850_949_lt_psn_not_sme_hhd, r_750_849_lt_hs_coop_com_ch_g, r_950_ovr_lt_hs_coop_com_ch_g, r_200_224_lt_real_este_agent, tot_lt_psn_not_sme_hhd, r_200_224_lt_hs_coop_com_ch_g, r_275_349_lt_hs_coop_com_ch_g, r_350_449_lt_psn_not_sme_hhd, r_650_749_tot, r_650_749_lt_hs_coop_com_ch_g, r_225_274_lt_ste_ter_hsg_aut, r_200_224_lt_psn_not_sme_hhd, r_450_549_tot, r_850_949_lt_ste_ter_hsg_aut, r_100_149_lt_real_este_agent, r_550_649_lt_psn_not_sme_hhd, r_850_949_lt_hs_coop_com_ch_g, r_950_over_lt_lld_type_ns, r_450_549_lt_lld_type_ns, tot_lt_ste_ter_hsg_auth, tot_lt_other_lld_type, r_275_349_lt_other_lld_type, r_275_349_lt_real_este_agent, r_850_949_lt_real_estat_agent, rent_ns_lt_lld_type_ns, rent_ns_tot, r_650_749_lt_real_este_agent, sa4_name16, r_550_649_lt_ste_ter_hsg_aut, r_100_149_lt_other_lld_type, r_200_224_tot, r_650_749_lt_other_lld_type, r_450_549_lt_real_este_agent, r_650_749_lt_psn_not_sme_hhd, rent_ns_lt_other_lld_type, r_550_649_tot, r_750_849_lt_other_lld_type, r_350_449_lt_hs_coop_com_ch_g, r_225_274_lt_hs_coop_com_ch_g, r_200_224_lt_other_lld_type, sa4_code16, r_0_74_lt_psn_not_sme_hhd, r_950_over_lt_real_este_agent, tot_lt_hs_coop_com_ch_g, r_225_274_lt_real_este_agent, r_550_649_lt_hs_coop_com_ch_g, r_225_274_lt_other_lld_type, r_850_949_lt_other_lld_type, r_150_199_lt_hs_coop_com_ch_g, r_350_449_lt_lld_type_ns
89,65,430,182,7967,134,88,62,2170,0,86,587,10,1010,0,67,69,4636,431,1326,14,0,750,3,594,7,94,2869,76,4,591,1378,36,53,234,27,54,3,91,19,4115,56,100,235,47346,764,23,416,3,385,88,94,7,5323,36142,5,15,7,71,3340,1385,12,576,0,284,9,0,80,7694,60,47,1001,5433,7,59,175,10559,0,40,1041,5,6,18,1597,645,65,707,1858,51,1271,4722,"Sydney - North Sydney and Hornsby",17,9,415,34,9051,652,69,9112,27,44,38,21,"121",675,3837,675,192,16,68,10,135,13
50,45,278,154,3003,61,52,42,1313,0,43,338,6,700,7,52,41,2560,346,655,4,5,423,16,381,14,40,1543,27,0,354,869,9,39,130,20,31,3,97,22,1637,65,48,135,22785,506,11,225,3,192,60,71,0,2322,15844,12,15,6,29,1903,692,7,261,0,234,3,0,35,4691,35,17,574,2594,8,63,79,4590,3,13,655,3,3,18,1068,365,48,275,1071,29,623,2072,"Sydney - Northern Beaches",6,21,236,23,3636,473,36,3704,8,18,56,11,"122",317,2127,477,86,7,32,9,81,12
177,34,586,215,801,129,206,593,28,7,84,312,15,1697,3,61,448,33,8,3214,4,0,5,7,1113,11,24,44,32,0,1387,370,3,25,1058,36,4,6,39,40,6258,17,50,212,22398,1547,3,165,14,163,549,280,0,7779,12989,6,12,7,31,60,684,0,189,0,8,0,0,97,2950,47,48,923,163,0,467,140,3536,0,17,82,0,0,23,5375,415,50,1928,18,42,731,121,"Sydney - Outer South West",3,33,850,4,3066,27,39,901,0,36,40,16,"123",225,25,367,325,0,63,0,80,33
127,38,909,181,903,221,156,351,33,0,79,379,21,1167,3,160,358,38,10,4812,0,0,14,3,2037,9,39,68,46,0,1424,462,8,18,819,37,7,14,38,21,8908,29,118,457,28412,937,10,228,7,202,335,210,0,10841,18624,5,14,7,28,84,798,0,280,3,3,0,0,221,4499,75,93,1399,233,3,341,232,4021,0,34,112,0,0,8,3692,575,81,3356,30,40,827,186,"Sydney - Outer West and Blue Mountains",7,29,888,13,3460,31,48,1027,3,54,84,22,"124",314,24,643,956,0,183,0,194,44
443,283,843,588,4467,305,556,500,183,11,360,639,21,3693,8,206,512,179,101,4304,16,6,40,15,2076,24,129,435,64,0,2465,1623,5,78,1538,194,77,10,160,69,14497,85,162,370,57781,3188,25,311,21,445,700,480,0,17690,37692,8,28,20,117,554,1734,4,647,0,32,4,0,229,7835,99,133,2126,1559,12,640,273,14225,3,105,669,3,0,51,8816,1514,143,2659,134,86,1893,1308,"Sydney - Parramatta",36,58,1362,22,12048,201,112,5280,7,118,122,41,"125",608,130,1294,680,11,253,3,324,68
91,39,225,133,2911,145,104,92,394,6,43,244,5,891,3,50,57,483,107,1059,10,3,98,4,512,10,60,641,30,0,620,621,8,14,303,37,28,4,61,16,3798,18,58,155,21221,712,16,137,5,203,147,103,0,4505,15062,4,8,5,40,767,659,9,229,0,55,3,0,59,3319,26,36,542,1808,3,104,103,4966,0,39,423,0,3,9,1782,386,41,660,335,40,673,1547,"Sydney - Ryde",23,11,357,16,4244,234,35,3395,7,57,33,19,"126",336,371,431,130,4,91,0,97,4
318,214,809,369,2014,204,394,598,46,12,372,562,42,2606,3,169,677,80,14,6064,9,3,11,7,2360,25,57,119,58,0,2112,856,7,42,1492,181,44,21,82,59,7397,26,103,377,38172,2286,32,272,19,308,766,402,0,10016,22114,4,9,9,84,142,1340,3,397,0,7,0,0,198,5178,73,109,1443,498,0,707,239,7514,3,58,226,0,0,29,7853,1702,265,4241,34,73,1358,416,"Sydney - South West",22,56,1344,12,6202,69,122,2321,0,65,95,56,"127",495,61,766,724,6,441,3,163,58
81,22,252,107,1798,43,86,94,242,0,52,223,4,796,0,25,82,316,65,1011,3,0,50,9,513,6,63,480,15,0,436,409,5,24,258,43,13,3,49,14,3287,12,41,116,16096,675,6,146,3,123,147,105,0,3990,11075,0,3,3,20,553,504,7,169,0,33,0,0,36,2387,25,29,548,1238,0,96,90,3502,0,10,239,0,0,16,1691,369,53,581,209,17,503,1065,"Sydney - Sutherland",27,14,305,9,3005,155,29,2087,6,17,32,9,"128",218,259,353,129,7,138,0,87,10
87,8,431,210,25,500,97,29,11,11,26,359,14,1624,0,953,9,22,3,3270,3,0,14,4,3900,25,31,3,72,0,1948,45,0,33,328,0,6,14,86,52,998,29,332,684,15369,824,3,234,13,138,166,104,0,1201,9280,12,50,20,27,8,767,0,124,0,5,0,0,926,3185,52,9,154,27,0,154,506,198,0,327,16,0,4,3,1802,367,37,2750,4,23,452,17,"Ballarat",0,35,1686,0,137,3,37,51,0,4,34,33,"201",303,10,381,2962,0,43,0,99,10
91,5,645,184,28,499,96,37,3,7,18,322,17,1293,0,636,9,25,4,3823,0,7,12,0,3254,23,23,5,66,0,1640,49,0,13,366,3,5,17,44,54,1127,32,309,672,14352,692,0,209,14,122,171,107,0,1374,8284,6,36,9,13,9,667,0,104,0,3,0,0,631,3290,98,13,213,21,0,97,437,188,0,176,16,0,0,0,1674,404,52,3065,0,26,427,9,"Bendigo",3,56,1386,3,133,11,49,48,0,5,71,43,"202",270,9,378,2333,0,57,0,80,4
