oth_crp_nec_vol_app_ml, num_agri_bsns_irrigating_num, wtr_tkn_on_farm_dams_tanks_tot_vol_used_ml, cotton_tot_area_ha_e, nurseries_cut_floers_cultivated_turf_vol_app_ml, wtr_tkn_rivs_crks_lakes_etc_tot_vol_used_ml, vegetables_human_consumption_vol_app_ml, rice_area_wtrd_ha, tot_area_wtrd_ha, vegetables_human_consumption_area_wtrd_ha, tot_vol_wtr_all_srcs_ml, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_vol_app_ml, nurseries_cut_floers_cultivated_turf_tot_area_ha, recyc_re_used_wtr_off_farm_srcs_tot_vol_used_ml, oth_srcs_wtr_excluding_rainfall_tot_vol_used_ml, irrigate_expendure_yr_irrigate_wtr_vol_use_chrgs_tot_cst_aud, rice_tot_area_ha, fruit_trees_nut_trees_plntn_berry_fruits_area_wtrd_ha, tot_vol_app_used_incl_oth_agri_wtr_ml, tot_app_rt_ml_ha, oth_broadacre_crp_app_rt_ml_ha, wtr_tkn_irrigate_channels_irrigate_pipelines_tot_vol_used_ml, town_reticulated_mns_supply_tot_vol_used_ml, irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_vol_pur_ml, cotton_vol_app_ml, irrigate_expendure_pur_xtr_wtr_perm_basis_tot_vol_pur_ml, cotton_area_wtrd_ha, pstrs_incl_lcrn_crl_crp_cut_silg_app_rt_ml_ha_d, grapevines_tot_area_ha, irrigate_expendure_pur_xtr_wtr_tmp_basis_tot_cst_aud, fruit_trees_nut_trees_plntn_berry_fruits_tot_area_ha, grapevines_area_wtrd_ha, sugar_cane_app_rt_ml_ha, oth_crp_nec_area_wtrd_ha, oth_crp_nec_app_rt_ml_ha, oth_broadacre_crp_tot_area_ha, nurseries_cut_floers_cultivated_turf_area_wtrd_ha, sa4_name16, sugar_cane_tot_area_ha_f, cotton_app_rt_ml_ha, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_area_wtrd_ha, grapevines_app_rt_ml_ha, rice_vol_app_ml, oth_broadacre_crp_area_wtrd_ha, sugar_cane_vol_app_ml, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_app_rt_ml_ha, pstrs_incl_lcrn_crl_crp_used_graze_fed_off_tot_area_ha, sugar_cane_area_wtrd_ha, fruit_trees_nut_trees_plntn_berry_fruits_vol_app_ml, pstrs_incl_lcrn_crl_crp_cut_silg_vol_app_ml_d, tot_vol_app_ml, oth_crls_grain_seed_eg_wheat_oats_maize_app_rt_ml_ha, grapevines_vol_app_ml, pstrs_incl_lcrn_crl_oth_crp_cut_silg_tot_area_ha, nurseries_cut_floers_cultivated_turf_app_rt_ml_ha, rice_app_rt_ml_ha, oth_broadacre_crp_vol_app_ml, pstrs_incl_lcrn_crl_crp_cut_hay_vol_app_ml_c, num_agri_bsns_num, vegetables_human_consumption_app_rt_ml_ha, irrigate_expendure_pur_xtr_wtr_perm_basis_tot_cst_aud, groundwtr_eg_bores_springs_wells_tot_vol_used_ml, pstrs_incl_lcrn_crl_crp_cut_silg_area_wtrd_ha_d, wtr_tkn_rivs_crks_lakes_etc_vol_use_chrg_occurs_tot_vol_used_ml, pstrs_incl_lcrn_crl_oth_crp_cut_hay_tot_area_ha, oth_crls_grain_seed_eg_wheat_oats_maize_vol_app_ml, oth_crls_grain_seed_eg_wheat_oats_maize_area_wtrd_ha, sa4_code16, pstrs_incl_lcrn_crl_crp_cut_hay_app_rt_ml_ha_c, fruit_trees_nut_trees_plntn_berry_fruits_app_rt_ml_ha, area_holding_tot_area_ha_a, vegetables_human_consumption_tot_area_ha, oth_agri_wtr_use_vol_used_ml_b, pstrs_incl_lcrn_crl_crp_cut_hay_area_wtrd_ha_c, wtr_tkn_rivs_crks_lakes_etc_no_vol_use_chrg_tot_vol_used_ml, oth_crls_grain_seed_eg_wheat_oats_maize_tot_area_ha
null,112.63,513.58,null,4014.78,4673.77,1935.14,null,1148.17,400.83,7848.16,null,557.75,null,null,203227.39,null,240.1,7848.16,6.54,null,null,492.11,null,null,null,null,null,null,null,240.32,null,null,null,null,null,507.24,"Sydney - Outer West and Blue Mountains",null,null,null,null,null,null,null,null,6306.66,null,null,null,7506.37,null,null,null,7.91,null,null,null,168.21,4.83,null,null,null,3462.03,null,null,null,"124",null,6.48,6058.28,438.37,341.79,null,1211.74,70.0
null,203.58,2491.96,null,1758.1,null,2105.08,null,null,341.73,10175.38,355.0,82.56,null,null,253585.02,null,2.41,10175.38,3.71,null,484.25,2481.75,478.56,null,null,null,3.31,null,null,4.99,null,null,null,null,455.0,78.11,"Sydney - South West",null,null,75.0,null,null,null,null,4.73,3980.72,null,7.06,875.0,9474.3,null,null,null,22.51,null,null,null,279.37,6.16,427736.33,43.44,264.0,null,null,null,null,"127",2.44,2.94,10484.1,434.85,701.08,null,299.91,1850.0
null,195.39,8378.2,null,240.48,1622.27,13813.72,null,8268.66,3503.35,25889.73,null,72.31,null,0.36,359316.54,null,6.67,25889.73,2.46,1.0,null,229.25,null,null,null,null,null,null,null,7.91,null,null,null,1.81,68747.38,59.15,"Ballarat",null,null,1727.91,null,null,null,null,1.36,319960.94,null,6.5,null,20364.75,null,null,null,4.07,null,null,null,1113.18,3.94,null,12565.39,null,1471.73,36964.69,null,606.0,"201",1.72,0.97,583027.04,3298.82,5524.98,null,150.54,119116.46
null,426.34,2403.85,null,null,21140.61,899.21,null,66087.62,121.38,169844.01,101136.01,5.31,null,null,1.101082028E7,null,3601.48,169844.01,2.44,1.29,135124.24,null,66186.52,null,3665.53,null,2.69,546.24,6566781.66,3659.69,435.14,null,null,null,36345.88,null,"Bendigo",null,null,40843.11,2.06,null,1873.44,null,2.48,415633.25,null,12226.36,null,161154.7,1.59,896.27,6055.9,6.94,null,2425.14,20718.2,1121.07,7.41,null,4629.21,null,21127.1,71138.64,19747.13,12393.05,"202",3.65,3.39,783427.54,124.09,8689.31,5671.48,null,190717.83
null,73.46,4915.86,null,2240.29,null,883.47,null,3136.79,285.59,9968.44,null,528.56,94.37,null,230692.13,null,16.01,9968.44,1.71,null,180.25,1582.12,null,null,null,null,null,139.1,null,null,139.1,null,null,null,16421.71,520.5,"Geelong",null,null,null,0.82,null,null,null,2.73,127128.54,null,23.34,null,5350.41,null,null,null,4.3,null,null,null,579.46,3.09,44678.3,809.09,null,null,13824.91,null,null,"203",null,1.46,216879.08,347.29,4618.03,null,null,33170.49
447.7,484.73,11608.85,null,1681.04,32905.86,141.78,null,23970.36,55.92,67611.82,32455.46,377.49,null,null,1225605.44,null,1082.0,67611.82,2.27,1.26,null,254.61,null,null,null,null,2.81,4108.41,232888.45,1528.36,3479.62,null,190.6,2.35,23837.12,371.77,"Hume",null,null,10194.59,1.47,null,null,null,3.18,988336.0,null,1203.93,null,54363.35,2.42,5103.79,10689.87,4.52,null,null,1349.4,2865.95,2.54,null,10444.32,112.14,32001.97,28146.24,null,null,"204",2.42,1.11,1200097.76,56.53,13248.47,557.74,903.88,45318.96
null,605.54,25712.33,null,700.32,37417.97,12973.43,null,45836.66,6178.27,174330.73,111051.79,451.08,4536.17,null,6034147.25,null,67.84,174330.73,3.07,3.68,72290.83,null,null,null,2688.19,null,2.22,null,null,250.75,null,null,null,2.03,3133.59,375.38,"Latrobe - Gippsland",null,null,32750.07,null,null,110.0,null,3.39,813854.76,null,171.96,5987.51,140548.38,3.37,null,51674.56,1.87,null,405.0,null,3697.16,2.1,387755.0,31370.57,2695.14,33541.43,76677.2,1694.81,503.55,"205",2.52,2.53,976066.25,8854.09,33782.35,2369.1,3876.53,7964.7
null,null,null,null,null,83.87,200.0,null,29.51,29.0,201.53,null,null,null,null,null,null,null,201.53,6.83,null,90.32,19.35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Melbourne - Inner South",null,null,null,null,null,null,null,null,null,null,null,null,201.53,null,null,null,3.0,null,null,null,null,6.9,null,7.98,null,83.87,null,null,null,"208",null,null,51.69,29.0,null,null,null,null
110.0,34.63,1193.23,null,550.16,80.21,219.28,null,411.58,77.69,1819.94,null,146.82,null,null,null,null,null,1819.94,3.54,null,null,105.0,null,null,null,null,null,9.0,null,883.43,null,null,24.5,4.49,null,108.82,"Melbourne - North East",null,null,null,null,null,null,null,3.14,10143.84,null,null,null,1456.15,null,null,null,5.06,null,null,null,144.51,2.82,null,405.24,null,80.0,null,null,null,"209",null,2.87,29267.47,79.8,363.79,null,0.21,null
null,15.07,210.69,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,275.44,null,null,null,null,null,null,"Melbourne - North West",null,null,null,5.15,null,null,null,1.85,23470.6,null,null,null,null,null,null,179.61,null,null,null,null,117.58,null,null,null,null,null,1063.71,null,null,"210",null,null,31482.55,null,null,null,null,null
