m85ovr_c_own_chld_childr, f55_64_ca_ow_ch_ch_oth_ch_ch, f55_64_c_own_chld_childr, f15_19_u_ch_care_ns, p45_54_u_ch_care_ns, p20_24_ca_ow_ch_ch_oth_ch_ch, f55_64_c_oth_ch_chiln, f35_44_yr_t, mt_u_ch_care_ns, p20_24_d_not_prov_ch_care, mt_c_oth_ch_chiln, p45_54_yr_t, f15_19_os_v, p15_19_yr_t, f75_84_os_v, m15_19_yr_c_for_t, ft_os_v, f20_24_ca_ow_ch_ch_oth_ch_ch, m85ovr_t, f20_24_d_not_prov_ch_care, m25_34_os_v, m45_54_c_own_chld_childr, f65_74_c_own_chld_childr, f15_19_d_not_prov_ch_care, p15_19_u_ch_care_ns, f55_64_os_v, f45_54_os_v, p25_34_ca_ow_ch_ch_oth_ch_ch, f75_84_d_not_prov_ch_care, m85ovr_u_ch_care_ns, m55_64_d_not_prov_ch_care, m35_44_yr_c_for_t, m45_54_yr_c_for_t, f20_24_yr_t, p35_44_c_own_chld_childr, m55_64_c_own_chld_childr, p15_19_yr_c_for_t, p20_24_u_ch_care_ns, m85ovr_d_not_prov_ch_care, f15_19_yr_c_for_t, f45_54_c_oth_ch_chiln, m25_34_c_own_chld_childr, f55_64_yr_c_for_t, f65_74_d_not_prov_ch_care, m20_24_u_ch_care_ns, m35_44_c_own_chld_childr, m55_64_c_oth_ch_chiln, f45_54_u_ch_care_ns, f20_24_yr_c_for_t, p15_19_d_not_prov_ch_care, m25_34_yr_c_for_t, m15_19_c_oth_ch_chiln, m45_54_yr_t, m45_54_u_ch_care_ns, p35_44_yr_t, m85ovr_c_for_t, mt_os_v, m35_44_ca_ow_ch_ch_oth_ch_ch, mt_c_for_t, p35_44_yr_c_for_t, m75_84_c_own_chld_childr, f55_64_u_ch_care_ns, m45_54_d_not_prov_ch_care, m15_19_c_own_chld_childr, f15_19_yr_t, m25_34_u_ch_care_ns, p20_24_yr_t, f75_84_yr_t, f55_64_yr_t, m75_84_yr_c_for_t, p20_24_c_oth_ch_chiln, mt_ca_ow_ch_ch_oth_ch_ch, p35_44_c_oth_ch_chiln, m45_54_c_oth_ch_chiln, p25_34_os_v, sa4_name16, m55_64_yr_t, ft_u_ch_care_ns, f25_34_yr_c_for_t, p20_24_os_v, f75_84_c_own_chld_childr, m65_74_yr_t, m65_74_os_v, p15_19_os_v, p25_34_c_oth_ch_chiln, m25_34_d_not_prov_ch_care, f20_24_u_ch_care_ns, m85ovr_os_v, m20_24_d_not_prov_ch_care, ft_c_own_chld_childrn, ft_ca_ow_ch_ch_oth_ch_ch, mt_t, p20_24_yr_c_for_t, m75_84_os_v, f75_84_ca_ow_ch_ch_oth_ch_ch, f25_34_ca_ow_ch_ch_oth_ch_ch, p45_54_ca_ow_ch_ch_oth_ch_ch, m55_64_ca_ow_ch_ch_oth_ch_ch, m15_19_u_ch_care_ns, f35_44_c_oth_ch_chiln, f55_64_d_not_prov_ch_care, p35_44_u_ch_care_ns, p45_54_c_own_chld_childr, f15_19_c_oth_ch_chiln, m75_84_ca_ow_ch_ch_oth_ch_ch, f45_54_d_not_prov_ch_care, ft_c_oth_ch_chiln, f75_84_c_oth_ch_chiln, p25_34_yr_t, m35_44_c_oth_ch_chiln, m15_19_ca_ow_ch_ch_oth_ch_ch, m35_44_yr_t, m35_44_u_ch_care_ns, m65_74_c_own_chld_childr, f45_54_ca_ow_ch_ch_oth_ch_ch, p45_54_os_v, f20_24_c_oth_ch_chiln, p45_54_yr_c_for_t, f85ov_ca_ow_ch_ch_oth_ch_ch, f75_84_yr_c_for_t, p20_24_c_own_chld_childr, f35_44_u_ch_care_ns, f25_34_c_oth_ch_chiln, f65_74_u_ch_care_ns, p35_44_os_v, f15_19_c_own_chld_childr, m65_74_yr_c_for_t, f45_54_c_own_chld_childr, m85ov_ca_ow_ch_ch_oth_ch_ch, p35_44_d_not_prov_ch_care, f20_24_c_own_chld_childr, f25_34_yr_t, m15_19_d_not_prov_ch_care, ft_c_for_t, m85ovr_c_oth_ch_chiln, mt_c_own_chld_childrn, p25_34_d_not_prov_ch_care, m45_54_os_v, m65_74_ca_ow_ch_ch_oth_ch_ch, f65_74_os_v, f15_19_ca_ow_ch_ch_oth_ch_ch, m55_64_os_v, f25_34_c_own_chld_childr, m75_84_d_not_prov_ch_care, f35_44_yr_c_for_t, m55_64_u_ch_care_ns, m65_74_d_not_prov_ch_care, f65_74_c_oth_ch_chiln, f85ovr_t, f85ovr_c_for_t, f35_44_ca_ow_ch_ch_oth_ch_ch, p35_44_ca_ow_ch_ch_oth_ch_ch, m35_44_d_not_prov_ch_care, m25_34_c_oth_ch_chiln, ft_t, m20_24_c_oth_ch_chiln, p25_34_u_ch_care_ns, p45_54_c_oth_ch_chiln, m45_54_ca_ow_ch_ch_oth_ch_ch, f45_54_yr_t, f85ovr_u_ch_care_ns, p15_19_c_oth_ch_chiln, m15_19_yr_t, f85ovr_os_v, f35_44_c_own_chld_childr, m20_24_yr_t, m75_84_u_ch_care_ns, f20_24_os_v, m20_24_os_v, ft_d_not_prov_ch_care, m75_84_yr_t, mt_d_not_prov_ch_care, m20_24_c_own_chld_childr, f25_34_os_v, m75_84_c_oth_ch_chiln, f65_74_ca_ow_ch_ch_oth_ch_ch, f25_34_u_ch_care_ns, f35_44_os_v, f25_34_d_not_prov_ch_care, m25_34_ca_ow_ch_ch_oth_ch_ch, p25_34_c_own_chld_childr, p15_19_c_own_chld_childr, f75_84_u_ch_care_ns, f35_44_d_not_prov_ch_care, f85ovr_c_oth_ch_chiln, m20_24_ca_ow_ch_ch_oth_ch_ch, m55_64_yr_c_for_t, f65_74_yr_c_for_t, m65_74_c_oth_ch_chiln, f85ovr_c_own_chld_childr, m65_74_u_ch_care_ns, p15_19_ca_ow_ch_ch_oth_ch_ch, p25_34_yr_c_for_t, m20_24_yr_c_for_t, f45_54_yr_c_for_t, m25_34_yr_t, p45_54_d_not_prov_ch_care, f65_74_yr_t, m35_44_os_v, m15_19_os_v, sa4_code16, f85ovr_d_not_prov_ch_care
3,17,245,358,1028,56,2603,15072,3537,9658,4222,26281,81,13026,30,376,608,51,758,4516,49,4181,59,5334,714,133,61,544,2366,145,7382,8442,4749,6160,17547,571,998,603,597,621,1137,4240,2871,5091,322,7902,1091,516,1297,11176,4783,335,12672,513,28848,5,395,249,22187,19110,12,425,7369,42,6396,633,12270,2993,10321,210,722,553,797,446,128,"Moreton Bay - South",9494,3848,7537,95,10,6903,70,134,1069,6753,279,8,5144,21097,1227,71169,1915,17,0,390,335,17,357,508,6897,1110,8029,539,0,7840,8065,232,25856,290,0,13776,559,85,215,101,485,9946,0,245,1133,544,684,430,112,67,1324,3845,0,8518,761,13627,5838,30387,7,17408,12118,39,3,101,9,68,6469,2104,10665,368,5141,1869,1402,11,515,763,4718,391,77150,241,1289,1582,123,13615,290,880,6631,11,9642,6119,265,61,34,42299,2599,45052,374,74,196,17,651,63,5362,154,10705,107,353,3802,6,5,1678,1948,1229,4,374,13,12321,620,5196,12225,15204,7568,50,54,"314",1095
3,21,144,384,1594,54,750,5157,6496,3589,1822,12298,32,4706,6,201,533,43,328,1571,140,1188,25,1419,876,53,41,262,988,71,5015,2731,1528,2972,4825,240,572,952,247,378,609,1809,915,3216,594,2404,416,629,910,3208,2128,157,6610,960,11324,4,443,80,8082,5663,8,723,4089,37,2210,1292,6146,1312,5817,59,396,226,594,292,331,"Queensland - Outback",6664,4293,3129,241,15,5314,45,45,646,3560,353,0,2020,6745,495,39599,1369,9,0,193,102,5,488,347,4125,1505,2072,268,0,3460,3072,69,13577,244,10,6161,980,48,63,75,258,3078,0,85,916,527,394,650,75,96,318,878,0,4083,616,6454,1790,10306,7,6035,5989,35,5,41,14,58,2543,1333,2933,932,4103,373,389,12,162,239,2411,250,34315,142,2003,906,46,5688,81,418,2499,0,2422,3174,319,141,101,19176,1727,24572,296,190,49,6,710,34,2426,68,4352,134,234,1669,8,15,660,403,263,4,852,22,5254,454,1551,7123,7552,4309,38,13,"315",298
6,43,505,724,2814,52,4730,23121,10390,14109,6990,49424,367,21096,333,493,3703,37,3842,6710,318,7059,102,8588,1525,529,387,527,10529,615,17831,11841,7980,9210,25240,1277,1319,1248,3121,824,1820,4967,5284,17800,625,11045,1858,1485,1356,17622,5595,447,22642,1333,43629,36,2864,330,32694,27575,30,1641,13057,44,10504,1148,18143,13088,26377,509,846,737,1239,712,762,"Sunshine Coast",22846,11657,9456,831,34,22480,714,622,1369,10036,626,70,7401,31048,1587,141141,1960,384,3,398,511,39,804,774,18916,2550,14254,740,0,15587,13739,518,36248,460,8,20509,1301,221,313,663,567,17303,0,556,1062,1253,874,1979,419,68,2459,7197,0,13085,746,19149,9034,46372,31,24966,18107,274,10,794,11,392,8189,9987,15733,1452,17517,3675,5855,45,770,1098,7205,494,158458,278,2325,2531,201,26785,1101,1191,10589,45,14192,8930,1326,527,298,96735,12212,95186,318,448,479,11,1174,255,8075,130,13156,108,1675,5880,36,11,3169,3787,2227,13,1797,16,15057,612,9328,17098,28644,24363,162,255,"316",4658
5,11,188,453,1184,41,1907,9318,4608,7872,2881,18690,112,10739,24,299,561,35,1211,3688,130,2343,46,4272,946,57,53,377,3467,267,6337,4741,2730,5127,9878,382,857,681,932,561,970,3031,2106,5332,365,4429,784,621,1019,8795,3456,259,8790,568,17840,15,385,109,13761,10851,13,609,5473,39,5392,649,10245,4409,9034,139,548,305,557,335,274,"Toowoomba",8165,5193,5193,186,15,6308,24,142,807,5338,319,0,4190,13126,767,56488,1497,9,3,272,185,14,491,352,6265,1185,4634,493,4,5828,5908,191,19569,206,0,8528,596,66,129,73,357,6124,0,207,903,585,491,662,73,66,732,2292,0,5735,633,9991,4529,19807,9,10580,9382,23,5,36,3,39,4436,2796,6108,605,4988,1138,2244,25,299,410,3144,316,62637,195,1261,1309,54,9895,621,747,5351,4,5450,5112,499,106,83,37076,3437,37729,271,145,127,10,612,35,4043,109,7469,105,721,2594,16,4,1184,1195,658,10,559,5,8647,474,3390,9577,11301,7221,39,33,"317",1597
3,34,252,719,2559,74,2874,15225,9861,13431,4648,30283,140,16488,49,483,1300,57,1396,6142,253,3531,69,6342,1601,151,112,561,4286,252,10508,7307,4219,8939,15409,600,1293,1866,1123,807,1549,4322,3159,7539,1146,6758,1274,1251,1731,13388,4980,421,14589,1308,29374,16,946,182,20990,17001,9,1225,8987,54,8011,1648,18402,5441,14241,218,884,467,956,591,546,"Townsville",13795,8690,8038,562,17,10924,103,205,1311,8735,715,5,7290,20305,1154,93318,2542,32,0,420,260,22,885,585,9703,2382,6813,676,0,9329,8876,239,31849,363,6,14153,1280,92,158,198,581,9213,0,258,1591,1103,803,1265,163,120,1069,3286,0,9829,1089,16228,7051,30336,12,15876,15431,80,3,111,16,101,6815,3927,9698,1296,8427,1539,2198,37,457,638,5477,516,96512,299,2854,2136,98,15693,353,1093,8478,10,8653,9467,711,348,213,56183,4894,61524,500,293,208,7,1209,78,6694,140,11140,178,849,4352,27,17,1897,1618,974,4,1325,15,13009,813,4998,15618,18317,10537,84,66,"318",1798
13,38,329,825,3208,77,3307,16197,12700,9320,5028,38163,255,16830,62,421,1844,69,2899,4111,414,4061,83,6255,1762,156,160,512,8660,603,16736,7471,4887,7014,16040,786,1313,1239,2267,897,1777,4410,3671,17647,702,6881,1473,1535,1911,13335,4961,356,18161,1680,30634,21,1411,221,22571,17704,36,1921,11465,62,8225,1307,14138,10828,22956,248,784,527,969,689,910,"Wide Bay",21061,12062,8077,783,26,22542,114,420,1104,6510,537,3,5207,22090,1188,119068,2800,48,4,379,330,23,939,592,17201,2574,8009,708,0,12386,9568,272,27635,378,3,14443,1403,174,205,292,496,10810,0,297,1936,1167,683,2370,230,177,1381,3946,0,10132,1343,14440,7076,32842,16,17012,11318,133,7,115,12,110,7014,9098,10229,1934,18560,1722,4172,33,473,695,5462,426,125781,288,2363,2468,128,19998,842,1062,8607,12,9164,7125,1640,456,322,79024,11036,82389,594,497,211,8,1053,129,4808,129,11428,239,1810,4672,22,16,2282,1811,1194,9,2493,14,13041,893,5925,13195,23852,21949,100,170,"319",3289
17,46,567,574,2247,21,3679,19292,7779,19344,6454,40682,301,19151,58,380,2492,19,3104,9396,375,6837,128,7967,1180,407,285,300,7250,336,13518,9965,7451,11300,20980,1264,1039,1253,2695,658,1060,3178,4291,9731,677,9370,1369,979,819,16404,3735,350,19912,1264,37418,63,1996,253,28035,22791,46,966,10939,30,9502,1313,22653,9043,19172,716,816,551,939,433,796,"Adelaide - Central and Hills",17485,7537,6276,867,40,13293,180,529,1362,13530,578,5,9941,24328,1241,119092,1188,47,7,224,473,18,606,600,13507,1960,13335,591,4,11662,12434,798,38199,342,3,18124,1087,188,296,533,552,15294,0,838,349,869,881,944,513,58,2707,6491,0,12154,250,19248,8432,38004,43,21028,25006,247,17,241,10,309,5174,5806,12831,1013,9574,4219,5686,73,623,873,6835,479,129307,263,2389,1488,181,20772,647,945,9643,9,11609,11354,652,501,368,81271,7226,81280,104,415,675,17,1080,275,11481,74,8349,85,894,5318,49,4,2655,4370,2501,19,827,9,10014,367,7848,18954,22605,15284,239,224,"401",4952
9,60,547,880,2908,113,5746,27348,10790,23304,9059,54976,138,26719,37,689,1474,80,3011,10472,183,6771,145,10645,1837,451,207,866,8794,441,17867,14587,7952,14090,29440,1091,2011,1577,2539,1316,2745,8681,6358,12914,881,13582,2317,1378,2792,22621,9835,600,26974,1531,55174,28,1024,370,41049,32244,32,1253,17404,89,12982,1907,29230,10634,24591,477,1577,853,1642,1036,398,"Adelaide - North",22820,10507,15986,257,29,16439,162,254,2404,18703,688,3,12834,38369,1860,165275,4096,27,7,632,403,33,960,1010,16534,3042,12802,1118,4,17384,17356,447,62317,631,4,27827,1705,189,250,293,1019,16982,4,483,2403,1339,1485,1326,168,176,2737,6031,0,19711,1691,31686,11980,57588,24,31139,32546,84,16,205,23,225,13865,7240,17663,1289,12412,3749,4873,45,787,1156,11433,917,172573,558,3552,3775,154,28002,682,1720,13742,12,15861,15139,946,134,123,102996,8696,112406,715,214,445,16,1650,70,13845,234,22548,258,1322,8279,35,34,3442,3919,2528,6,1134,25,25822,1304,9027,30630,34789,18363,101,114,"402",4133
12,54,529,584,2046,53,5589,23248,7646,19037,8869,46872,244,21953,29,546,1298,35,3592,9098,157,6760,135,9138,1254,259,138,681,8365,501,16658,12792,7666,11243,26165,1116,1479,1040,3047,936,1860,5684,6173,12195,539,11916,2282,1014,1507,18810,6516,505,22426,1035,45131,38,888,370,35704,28742,30,1153,13640,41,10899,1040,22532,10348,23984,652,1142,773,1340,713,380,"Adelaide - South",21285,8601,10343,224,33,16452,100,412,1870,13867,503,4,9942,30763,1826,137802,2228,27,4,528,498,26,667,829,16398,1927,13128,842,8,14775,16511,699,44460,512,0,21887,982,195,304,220,745,16192,5,734,1038,949,1182,1207,199,82,3348,6365,0,14266,723,22879,9675,49102,31,26062,25134,83,10,139,3,165,8637,6709,15945,1040,12012,4710,6518,68,868,1233,8021,686,151980,393,2088,2567,192,24445,935,1347,11058,14,14253,11286,857,141,83,92981,8243,93566,312,225,616,29,1045,106,11268,147,14313,124,1219,6249,47,19,3420,4876,3138,18,989,6,16860,725,8524,21578,28416,18415,98,172,"403",5507
8,31,368,378,1527,25,2817,14675,5611,13856,4463,31125,113,13071,23,270,1008,12,2629,6646,116,4128,105,5412,847,232,145,254,6240,372,10692,7117,4599,7980,14775,730,771,826,2211,505,974,3068,3213,7217,416,6717,1081,735,781,11240,3538,230,15330,792,29193,44,645,138,19754,16059,27,717,9871,33,6409,833,16051,7597,14408,440,640,340,766,373,267,"Adelaide - West",13368,6014,6199,221,42,9499,71,205,1208,12051,414,4,7214,18009,788,92356,1142,19,4,195,237,23,468,498,10241,1378,7933,437,0,9989,8910,502,33506,267,4,14521,717,108,147,211,426,9522,0,539,481,667,794,745,136,60,1550,3802,0,11616,345,16963,5829,27708,31,14957,21848,65,8,114,4,125,5215,4689,8940,708,7154,2437,4670,47,385,517,6621,412,99119,213,1644,1346,91,15798,765,674,6658,6,8063,8069,583,145,83,64389,5731,66349,138,151,412,15,813,73,9794,61,8276,90,791,4993,32,7,1834,2552,1431,13,722,8,9744,357,4924,16547,19861,10629,63,90,"404",3851
14,19,150,312,925,7,1747,5983,3654,3823,2492,15161,44,6205,3,155,193,5,1186,1685,37,1771,37,2295,692,16,18,201,3141,204,6892,3238,2120,2365,6662,322,470,292,955,317,755,1794,1921,5359,136,2985,815,424,491,4973,2006,130,7521,507,11628,23,154,105,9814,7362,12,579,4885,21,2974,353,4918,3826,8459,129,304,208,387,293,86,"Barossa - Yorke - Mid North",8669,3566,3015,51,12,7305,12,73,432,2808,160,0,2142,8381,486,44859,751,7,0,166,126,13,380,240,5941,687,3344,289,0,4791,4570,138,10453,153,0,5641,365,52,74,35,187,4525,0,148,439,320,254,646,33,27,743,1568,0,3548,294,5243,2677,13444,7,7115,4720,14,4,16,0,14,2600,2955,4123,614,5899,950,2009,23,215,319,2017,180,45505,113,621,1052,48,7642,330,417,3235,0,3677,2554,457,30,20,28307,3541,31239,138,47,110,3,269,13,1912,34,4393,55,525,1529,9,3,1141,988,693,12,641,0,5021,259,2405,5208,9676,7005,18,25,"405",1661
3,9,84,296,1467,56,1113,4901,5507,3215,2076,12848,20,4585,9,169,221,41,625,1387,74,1435,21,1583,617,36,29,255,1696,106,4955,2954,1828,2339,5311,213,465,627,504,298,717,1837,1208,3166,381,2677,585,541,679,3462,2126,143,7023,927,10861,12,254,93,8774,5996,9,607,4227,21,2200,1022,4943,2166,5710,87,333,266,435,336,139,"South Australia - Outback",6657,3706,2926,65,10,4654,18,38,515,3091,244,0,1830,6703,484,38312,1029,5,3,177,137,16,319,247,3856,1312,2471,246,0,3427,3475,81,11734,187,4,5957,911,41,82,64,211,3666,3,94,642,402,297,500,61,41,439,1035,0,3492,427,5415,1878,10662,4,6434,4984,36,3,10,4,25,2447,1659,3044,863,3576,549,1012,19,163,257,2057,218,33810,130,1556,1054,61,5824,214,392,2381,0,2633,2607,340,30,38,19222,2088,23775,212,65,78,3,536,17,1894,76,4280,55,364,1440,9,15,804,572,398,3,626,7,5047,355,1829,6319,7653,4253,42,13,"406",781
18,17,209,480,1814,46,2810,10055,7210,6540,4176,24941,88,10336,18,273,701,29,2103,2804,300,2945,81,3900,1104,61,67,372,5329,389,10440,5367,3556,4274,10785,566,844,704,1683,575,1299,3035,3034,8863,445,4901,1245,781,1074,8239,3394,241,12509,1035,20085,28,766,201,16503,12040,15,874,7847,34,5044,902,9095,6556,13193,218,563,383,682,528,541,"South Australia - South East",13316,6143,5200,291,16,11774,40,145,734,4866,255,0,3734,13860,863,75350,1559,11,3,296,205,12,622,414,9219,1564,5425,485,0,7685,7833,225,18708,267,3,10031,979,121,127,137,393,7464,0,242,954,591,458,1033,133,79,1357,2479,0,6342,648,9240,4341,22561,11,11941,8143,73,6,30,5,60,4450,5012,6678,987,9315,1731,3292,37,379,573,3621,278,75824,169,1434,1827,79,12436,639,722,5293,0,5884,4826,778,137,158,46421,6024,50865,300,242,201,10,523,62,3273,76,7484,114,968,2721,16,13,1826,1813,1231,20,1068,11,8591,487,3908,9467,15530,11740,72,58,"407",2618
6,18,237,586,1846,36,2457,11837,6389,5968,3348,24073,75,10866,36,308,898,30,1258,2705,233,3203,51,4019,1240,113,118,409,3535,238,8535,6036,3677,4090,12850,487,821,661,1006,510,1129,2887,2710,6316,333,5628,962,882,920,8677,3258,272,11563,965,22465,9,731,163,16332,14119,19,913,6835,38,5191,881,8246,4592,11772,151,454,369,652,390,479,"Bunbury",11012,6342,5774,270,22,8694,58,138,731,5072,326,3,3264,16251,961,66397,1348,16,0,313,216,18,655,407,8041,1669,6224,438,0,7231,6746,197,20003,249,3,10636,888,90,133,203,286,7958,0,217,856,781,448,879,170,71,994,3022,0,6511,598,10554,4651,23959,4,12609,8855,84,6,68,3,70,5005,3197,8083,940,6751,1383,2039,21,450,614,3633,277,71298,163,1637,1520,85,12514,427,702,5673,4,7224,4156,599,139,126,40095,3966,42944,259,245,138,7,756,96,3783,94,7895,111,800,2877,4,6,1460,1447,899,11,892,5,9029,430,4281,9446,14069,8713,72,61,"501",1587
4,15,127,232,768,40,1378,5726,2880,3716,1910,11969,28,5823,6,176,268,23,1003,1687,22,1342,31,2339,482,77,26,250,2971,180,4291,2672,1620,2527,5874,235,477,347,810,297,654,1608,1525,4458,185,2451,471,381,656,4824,1828,163,5594,390,10631,12,158,80,7994,6491,9,409,3565,17,2898,311,5060,3611,6354,99,319,183,366,255,51,"Mandurah",5391,3121,3173,26,7,5478,28,47,421,2409,164,0,2032,8227,464,35687,966,7,0,195,78,4,248,232,4349,670,2780,243,0,3812,3883,100,9919,138,0,4909,332,58,51,51,198,3773,0,106,613,337,256,499,51,48,568,1445,0,3418,431,5356,2483,12578,9,5896,4221,22,3,38,4,41,2723,2787,3820,355,4408,819,1379,10,172,251,1879,165,40060,121,647,907,29,6377,244,406,2918,4,3420,2536,397,20,9,24093,3290,24661,176,33,94,0,331,29,1813,53,4327,60,522,1539,10,14,706,846,503,0,478,4,5002,309,2148,4565,7382,5836,19,12,"502",1126
3,24,345,381,2123,9,1478,12217,7735,11586,2845,23424,268,10120,45,225,2971,6,1453,5813,699,4176,69,4297,688,333,324,110,3209,260,7286,5334,4427,7630,11411,820,542,1235,1171,316,387,1490,1843,4212,570,5065,491,916,391,8435,1796,212,11654,1208,24332,18,2570,98,14836,12448,26,789,5700,15,5271,1915,14693,4354,9904,314,458,241,574,158,1443,"Perth - Inner",9878,7409,3116,1291,23,6927,140,455,837,12322,664,8,5774,13531,713,74163,582,36,3,86,299,14,303,390,6933,2337,8360,297,3,5747,5853,462,33469,176,3,12119,1278,117,206,639,317,9209,0,487,111,1056,557,671,691,17,1212,4184,0,8858,68,16748,4137,20097,12,11748,23389,316,7,162,0,285,2469,2675,7111,982,4821,1927,2732,35,373,466,5131,281,77666,143,3734,552,94,11766,495,507,4854,11,6348,7061,464,760,532,47194,3486,49015,46,740,284,12,1825,325,11065,20,3956,29,607,3726,31,3,1323,2012,1085,7,758,3,4910,191,4782,16724,11452,7057,370,192,"503",2189
5,31,359,529,2309,36,2964,18008,8808,12854,4557,33921,61,15502,50,409,1186,33,1415,5921,155,4631,66,6192,1162,325,177,457,3991,301,10393,8533,5234,7965,18236,756,1078,1375,1074,663,1367,4583,3348,6653,796,8012,1137,1031,1353,13154,5139,372,16627,1280,35127,23,763,180,23447,19905,18,834,10046,38,7447,1826,16437,5121,14281,287,849,401,977,494,358,"Perth - North East",13446,7621,8779,212,25,9213,129,109,1339,11912,575,11,6929,23415,1173,97826,1996,38,3,370,305,17,633,641,9775,2687,8960,583,0,10195,9244,301,38645,338,0,17122,1562,122,201,242,528,11126,0,335,1111,1128,871,881,147,75,1261,4325,0,12383,792,19618,6970,33834,15,18493,21263,64,3,166,3,157,7541,3518,11371,982,7005,1975,2365,26,514,687,6965,469,101868,318,3111,1862,105,17292,606,956,8059,8,10224,8465,612,112,99,59232,4457,64808,316,199,269,16,1284,88,9353,83,12121,117,745,5420,18,11,1915,2058,1134,10,814,6,13921,645,5896,19030,20242,9766,65,45,"504",1738
8,82,816,1046,3475,94,6840,38827,12525,28682,10244,71530,254,34312,104,793,2736,73,3217,13391,334,11056,185,14063,2219,650,310,867,9515,548,21140,19884,12194,17064,42468,1663,2250,1940,2610,1458,2570,9084,7731,13838,1011,18819,2459,1732,2395,29422,10288,725,34521,1744,74847,48,1711,414,52612,46105,47,1538,20380,66,16821,2505,34638,12000,30128,765,1642,907,1934,935,801,"Perth - North West",27036,13558,17455,579,49,18955,244,414,2893,26154,924,6,15291,51667,2557,203525,3441,67,4,678,583,48,1171,1278,20203,3760,21729,1308,6,21338,21093,849,80565,649,11,36026,1906,249,378,519,1079,25824,0,901,1708,1858,1878,1468,415,132,3425,10679,0,24562,1247,41290,15358,75317,35,41455,47118,205,20,321,17,303,14899,7613,26219,1420,14061,5239,5539,63,1292,1706,14071,1012,219776,562,4907,3511,203,37011,1099,2030,17489,25,23648,17572,990,358,225,128161,9435,136678,463,474,709,36,2403,249,20967,185,23984,199,1480,10491,46,21,4170,5458,3153,20,1233,21,27739,1043,13630,39272,41716,21088,163,164,"505",4354
6,71,675,959,3765,70,5803,33883,15428,30056,8816,60508,238,30838,111,843,3642,56,2869,13632,471,8219,194,12211,2155,1050,503,808,8080,545,18942,17042,9252,17968,35574,1400,2215,2627,2269,1372,2424,9218,6549,12507,1478,16111,2140,1713,2727,26035,10397,742,29862,2051,67885,39,2524,349,45556,38521,38,1653,18317,88,14793,3429,37416,10254,27373,513,1721,784,1658,841,1030,"Perth - South East",24740,14122,17406,811,31,17775,385,437,2642,26796,1147,12,16422,44728,2099,194168,3921,89,9,640,522,35,1190,1073,18123,4563,15768,1202,0,18126,17794,592,82125,587,4,34007,2613,268,329,739,1157,19560,0,629,2122,1949,1639,1499,506,157,2700,7547,0,24294,1518,41023,13822,64617,29,35953,47193,240,12,445,22,527,15129,6690,21482,1691,13298,3886,5099,30,938,1289,14100,1005,199610,570,6095,3267,190,30651,1098,1940,16048,15,19472,19447,1019,456,353,117230,8316,130660,609,558,475,40,2662,261,20388,172,24355,248,1433,10194,23,17,3578,4119,2416,4,1397,24,27808,1189,10304,41100,36443,18567,250,194,"506",3953
8,52,593,920,3362,76,5026,28737,12593,21166,7731,53700,213,25513,66,645,2191,57,2737,9958,331,7555,149,10375,1920,490,220,833,7435,560,16159,14621,8574,13324,31040,1240,1764,2083,2139,1110,2259,7124,5670,10635,1206,13737,1860,1585,2172,21498,8073,579,25779,1770,55553,27,1487,331,38935,33949,35,1411,15278,59,12615,2519,26891,9592,23064,529,1361,758,1587,849,732,"Perth - South West",20913,12321,13825,509,43,14782,203,329,2168,17195,877,11,11211,38692,2149,153462,3135,59,3,660,534,38,1003,1038,15496,3530,15076,999,8,15971,15796,592,58243,551,7,26819,1954,194,358,375,910,18715,3,633,1695,1573,1390,1278,337,104,2361,7521,0,17738,1199,30128,11121,56636,24,30445,31025,154,8,282,4,271,11772,6241,19326,1357,11024,3550,4869,46,985,1319,10081,778,166159,453,4593,3108,174,27925,1143,1579,12891,15,17305,13567,1023,323,188,95012,7853,100453,491,397,489,25,2073,181,13831,171,18896,169,1457,7658,32,21,3136,3713,2158,6,1202,17,21893,961,10145,28118,31249,15913,156,118,"507",3663
8,7,173,420,1888,28,1743,7872,7026,4455,2434,19433,38,7297,11,224,551,20,1165,1796,157,2353,50,2544,951,70,53,293,3141,237,8018,4193,2723,2855,8335,462,598,680,909,370,835,2197,1931,5640,426,3871,729,807,686,5685,2453,210,9867,1082,15929,20,511,126,11871,9286,15,876,6028,15,3377,1172,6386,3954,9921,104,391,260,534,312,343,"Western Australia - Wheat Belt",10365,5436,3951,238,15,8145,40,63,570,3790,251,0,2658,10533,668,56464,1019,7,0,244,154,16,532,335,7045,1665,4376,319,0,5748,4901,140,14798,194,0,8054,1017,57,91,92,259,5681,0,149,601,651,368,850,91,49,613,2027,0,4880,410,7233,3141,16103,8,9181,6298,37,3,29,3,66,3339,3142,5089,1079,6569,887,1650,21,295,422,2799,207,53888,129,1757,1148,62,9569,334,526,3924,0,4462,3533,581,116,127,31806,3839,37053,196,181,88,3,590,48,2512,50,5538,65,651,2082,19,3,1200,942,556,4,919,6,6401,331,2956,7571,11778,7462,45,30,"509",1292
