two_methods_bus_other_f, two_methods_bus_other_m, two_methods_trn_car_as_drvr_m, two_methods_train_other_p, two_methods_trn_car_as_drvr_p, two_methods_train_other_m, two_methods_train_other_f, two_methods_trn_car_as_drvr_f, one_method_tot_one_method_f, one_method_car_as_passenger_p, one_method_tot_one_method_m, one_method_car_as_passenger_m, three_meth_othr_three_meth_f, one_method_tot_one_method_p, three_meth_othr_three_meth_p, one_method_car_as_passenger_f, three_meth_othr_three_meth_m, tot_f, one_method_ferry_f, one_met_tram_incl_lt_rail_p, three_meth_trn_two_othr_met_f, tot_m, tot_p, three_meth_trn_two_othr_met_m, one_method_walked_only_m, two_methods_train_bus_m, one_method_walked_only_p, two_methods_bus_car_as_drvr_m, three_meth_trn_two_othr_met_p, two_methods_train_bus_f, two_methods_bus_car_as_drvr_p, one_method_walked_only_f, two_methods_train_bus_p, two_methods_bus_car_as_drvr_f, two_mt_trn_trm_incl_lt_rl_m, two_mt_trn_trm_incl_lt_rl_p, two_methods_bus_other_p, two_mt_trn_trm_incl_lt_rl_f, one_method_ferry_p, one_met_tram_incl_lt_rail_f, one_met_tram_incl_lt_rail_m, one_method_ferry_m, worked_home_p, worked_home_m, worked_home_f, did_not_go_to_work_f, two_methods_bus_car_as_pass_f, one_method_truck_m, one_method_bicycle_p, one_method_truck_p, one_method_bicycle_m, one_method_truck_f, did_not_go_to_work_m, did_not_go_to_work_p, one_method_bicycle_f, method_travel_to_work_ns_f, two_methods_tot_two_methods_f, one_method_other_f, two_methods_tot_two_methods_m, two_methods_trn_car_as_pass_f, one_method_car_as_driver_m, two_methods_tot_two_methods_p, one_method_other_p, one_method_car_as_driver_p, one_method_other_m, one_method_car_as_driver_f, two_methods_trn_car_as_pass_p, sa2_main16, two_methods_trn_car_as_pass_m, two_methods_bus_ferry_f, two_methds_othr_two_methds_f, two_methds_othr_two_methds_m, two_methods_train_tot_p, one_method_train_p, two_methods_train_tot_m, two_methods_bus_ferry_p, two_methds_othr_two_methds_p, two_methods_bus_ferry_m, one_method_train_m, one_method_motorbike_scootr_m, sa2_name16, two_methods_train_tot_f, one_method_train_f, one_method_motorbike_scootr_p, one_method_motorbike_scootr_f, two_mth_bu_trm_inc_lt_rl_m, three_meth_tot_three_meth_f, two_methods_bus_tot_p, two_mth_bu_trm_inc_lt_rl_p, method_travel_to_work_ns_m, method_travel_to_work_ns_p, one_method_bus_f, two_methods_bus_tot_m, one_method_bus_p, three_met_bs_2_ot_met_ex_tr_p, two_methods_bus_car_as_pass_p, two_methods_train_ferry_p, one_method_bus_m, two_methods_train_ferry_m, one_method_taxi_f, three_met_bs_2_ot_met_ex_tr_m, two_methods_bus_car_as_pass_m, two_methods_bus_tot_f, one_method_taxi_p, one_method_taxi_m, three_met_bs_2_ot_met_ex_tr_f, two_methods_train_ferry_f, three_meth_tot_three_meth_m, two_mth_bu_trm_inc_lt_rl_f, three_meth_tot_three_meth_p
0,3,3,7,3,3,0,0,2075,120,2856,39,5,4933,4,82,0,2570,0,1636,14,3325,5898,19,879,23,1430,0,35,19,0,551,39,0,33,74,3,40,0,785,849,0,257,147,113,240,0,3,80,3,49,0,183,418,25,29,95,9,95,3,830,193,43,1304,39,479,3,"206041118",0,0,31,25,121,237,64,0,58,0,121,25,"Docklands",58,114,32,4,3,18,8,7,31,61,21,5,37,0,0,0,17,0,10,0,0,4,15,6,0,0,24,4,38
0,0,3,10,5,3,0,0,1169,60,1217,20,3,2389,8,45,0,1511,0,359,12,1515,3031,10,419,5,815,0,19,0,0,401,6,0,18,44,0,24,0,190,165,0,223,120,103,151,0,0,106,0,68,0,100,259,37,19,54,15,54,0,431,104,25,800,14,370,0,"206041119",0,0,8,20,56,138,26,0,29,0,64,8,"East Melbourne",31,72,10,0,3,16,15,13,13,32,28,3,44,0,0,0,17,0,5,0,0,9,18,8,0,0,9,9,29
0,0,0,0,0,0,0,0,16,0,16,0,0,32,0,0,0,16,0,0,0,19,38,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,12,0,4,0,"206041120",0,0,0,0,0,10,0,0,0,0,3,0,"Flemington Racecourse",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,11,19,12,4,6,1886,103,1977,28,0,3859,3,72,0,2452,0,274,12,2370,4828,18,72,9,184,0,29,23,0,117,35,0,47,110,0,65,0,170,104,0,287,123,165,252,0,3,80,3,63,0,141,397,19,10,127,20,98,3,1170,222,39,2181,19,1005,10,"206061135",6,0,15,17,185,957,78,0,35,0,484,20,"Armadale",109,473,20,0,5,16,3,3,10,26,10,5,12,0,0,0,3,0,0,0,0,0,4,4,0,0,20,0,31
0,0,0,5,3,3,0,0,1344,69,1376,25,0,2721,0,42,0,1701,0,599,16,1682,3377,20,237,10,534,0,32,13,0,296,14,0,26,64,0,33,0,320,284,0,224,116,112,143,0,0,180,0,118,0,93,235,59,13,80,10,64,3,570,136,25,1073,17,506,3,"206041125",0,0,21,21,95,151,42,0,40,0,74,30,"South Yarra - West",54,78,31,0,0,17,3,3,12,24,25,0,34,0,0,0,15,0,9,0,0,7,17,10,0,0,17,0,34
0,0,109,6,194,6,0,81,2278,208,2674,80,0,4953,0,129,0,3061,0,9,39,3221,6278,35,48,47,88,0,78,47,3,43,98,0,6,7,0,3,0,5,3,0,314,121,195,346,0,28,56,26,49,0,171,521,8,20,180,10,202,20,2187,374,19,4051,13,1865,38,"208021427",9,0,17,16,334,370,174,0,31,0,204,21,"Bentleigh East (South)",160,167,25,4,3,47,4,3,24,46,44,3,84,0,0,0,40,0,6,0,0,6,12,7,0,0,35,0,79
0,0,88,16,142,14,3,57,3993,349,4578,123,0,8578,0,223,0,5222,0,25,39,5485,10709,55,115,82,274,0,92,61,3,154,142,3,41,75,0,36,0,10,15,0,587,242,345,605,0,31,156,31,134,0,299,908,26,26,213,24,271,25,3235,489,64,6117,46,2884,39,"208021174",14,0,31,29,420,1408,242,0,54,0,789,44,"Bentleigh - McKinnon",176,614,46,5,0,39,13,4,37,63,48,6,96,0,6,0,42,0,3,0,0,7,11,3,0,0,55,0,93
0,0,37,21,69,16,4,28,1769,128,2089,41,0,3852,0,93,0,2326,0,3,17,2546,4867,21,43,35,90,0,34,36,0,46,73,0,38,69,0,34,0,3,3,0,209,106,109,293,3,11,77,14,53,0,172,465,18,12,127,7,148,13,1404,274,16,2559,15,1156,18,"208021181",12,0,11,8,251,883,137,0,19,0,477,11,"Murrumbeena",117,409,11,0,0,12,10,3,17,33,24,3,55,0,6,0,26,0,4,0,0,5,10,7,0,0,22,0,33
0,0,73,7,128,4,0,53,1743,190,2052,71,0,3788,0,119,0,2269,0,0,11,2401,4672,21,15,16,35,7,37,20,7,17,34,0,0,3,0,0,0,0,0,0,156,57,103,306,0,17,26,17,19,0,138,446,3,10,96,8,117,10,1767,219,24,3214,13,1450,21,"208031183",6,0,10,13,187,236,104,0,21,0,117,11,"Aspendale Gardens - Waterways",86,121,11,0,0,16,10,0,16,21,23,8,40,0,9,0,15,0,0,0,6,0,3,0,0,0,26,0,35
0,0,0,0,0,0,0,0,4,0,17,0,0,18,0,0,0,3,0,0,0,16,22,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,4,0,"208031184",0,0,0,0,0,0,0,0,0,0,0,0,"Braeside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
