non_sc_quals_cert1a2_level_f, mig_lvd_same_add_1_yr_ago_m, p_aged_15_yr_over_f, non_sc_quals_certtot_level_p, non_sc_quals_cert1a2_level_m, non_sc_quals_certtot_level_m, pcent_lab_force_particip_p, p_aged_15_yr_over_p, non_sc_quals_cert1a2_level_p, p_aged_15_yr_over_m, mig_lvd_same_add_1_yr_ago_f, pcent_lab_force_particip_m, pcent_employmnt_to_pop_f, non_sc_quals_adv_dip_dip_p, non_sc_quals_certtot_level_f, non_sc_quals_cert3a4_level_f, pcent_lab_force_particip_f, non_sc_quals_adv_dip_dip_m, pcent_employmnt_to_pop_m, pcent_employmnt_to_pop_p, non_sc_quals_cert3a4_level_m, non_sc_qua_gra_dip_gra_cer_m, non_sc_qua_gra_dip_gra_cer_p, non_sc_qua_gra_dip_gra_cer_f, non_sc_quals_certnfd_level_f, lab_for_st_empl_worked_ft_f, mig_lvd_same_add_1_yr_ago_p, lab_for_st_n_the_lbour_frce_m, lab_for_st_empl_worked_pt_p, lab_for_st_empl_worked_pt_m, sa4_name16, lab_for_st_n_the_lbour_frce_p, lab_for_st_n_the_lbour_frce_f, lab_for_st_empl_awy_frm_wrk_m, lab_for_st_empl_awy_frm_wrk_f, lab_for_st_empl_worked_pt_f, mig_lvd_diff_add_1_yr_ago_m, lab_for_st_empl_worked_ft_p, mig_lvd_same_add_5_yr_ago_f, lab_for_st_empl_worked_ft_m, mig_lvd_same_add_5_yr_ago_p, non_sc_quals_certnfd_level_p, mig_lvd_same_add_5_yr_ago_m, mig_lvd_diff_add_1_yr_ago_f, non_sc_quals_certnfd_level_m, lab_for_st_unemp_lkg_fr_wrk_p, lab_for_st_tot_labour_force_p, non_sc_quals_bachelor_deg_f, percent_unemployment_m, lab_for_st_unemp_lkg_fr_wrk_m, non_sc_quals_cert3a4_level_p, percent_unemployment_f, mig_lvd_diff_add_1_yr_ago_p, lab_for_st_unemp_lkg_fr_wrk_f, non_sc_quals_adv_dip_dip_f, non_sc_quals_bachelor_deg_p, lab_for_st_tot_labour_force_m, non_sc_quals_bachelor_deg_m, non_sc_quals_postgrad_deg_f, sa4_code16, lab_for_st_empl_awy_frm_wrk_p, mig_lvd_diff_add_5_yr_ago_f, lab_for_st_tot_labour_force_f, non_sc_quals_postgrad_deg_p, mig_lvd_diff_add_5_yr_ago_p, mig_lvd_diff_add_5_yr_ago_m, percent_unemployment_p, non_sc_quals_postgrad_deg_m
1251,66223,72908,33295,629,21260,58.2,143397,1879,70481,67627,62.2,51.6,13156,12041,9066,54.2,5168,59.2,55.3,19542,1015,3089,2072,1721,15941,133855,20810,27509,8470,"Hume",48280,27467,2432,2610,19038,11551,46754,46380,30816,92108,2807,45731,11998,1091,4097,83403,9060,4.9,2141,28612,4.9,23550,1955,7992,14470,43859,5403,1685,"204",5040,30013,39544,3117,58600,28587,4.9,1430
1941,99566,111749,52240,883,33754,54.1,216928,2828,105181,103671,58.4,47,17797,18486,14015,50.1,6737,54,50.4,31285,1234,3995,2762,2530,20058,203240,35891,41076,12389,"Latrobe - Gippsland",83035,47148,3320,3724,28686,16175,61113,70906,41056,140050,4110,69147,17920,1581,8184,117415,11952,7.5,4614,45304,6.4,34094,3571,11063,18848,61378,6896,2035,"205",7039,45680,56036,3734,86978,41303,7,1705
1637,188305,280741,46173,1179,28046,64.4,540847,2817,260105,201436,67.4,57.6,44419,18122,12842,61.7,20368,62.9,60.2,24298,7252,20098,12845,3644,94172,389745,56892,94930,35710,"Melbourne - Inner",136101,79212,6126,8346,59220,66468,216021,112445,121846,216266,6222,103824,73097,2572,22952,348372,80928,6.6,11517,37133,6.6,139565,11432,24049,152044,175194,71124,31437,"206",14468,157022,173173,59411,302458,145438,6.6,27972
955,131963,155968,27158,574,16530,60.4,295950,1531,139984,144017,65.8,52.1,27670,10626,6940,55.6,12088,61.4,56.5,14438,4041,10916,6878,2735,37795,275981,42228,60454,21064,"Melbourne - Inner East",104935,62707,3003,4081,39392,26652,99636,98865,61842,188528,4248,89667,28450,1516,11531,178710,41769,6.7,6125,21377,6.2,55103,5399,15579,78520,92040,36751,14480,"207",7088,69443,86670,30631,134133,64693,6.5,16152
1272,147833,170672,39412,694,24553,64,323616,1963,152941,160642,69.3,56.1,33161,14859,10193,59.2,14234,65.5,60.5,21821,4035,11472,7434,3388,45189,308469,39816,66952,21350,"Melbourne - Inner South",101219,61408,3523,4879,45607,27888,120559,108045,75371,206633,5437,98587,30012,2043,11068,206977,43103,5.4,5759,32013,5.3,57897,5311,18924,79899,105992,36801,13767,"208",8395,76963,100982,27482,148208,71241,5.3,13717
2208,189233,203408,66286,1208,42318,62.3,395379,3421,191965,196157,67.6,53.4,37689,23969,17747,57.3,16509,63.2,58.2,38601,3441,10131,6686,4011,49087,385392,52239,78705,25656,"Melbourne - North East",128328,76092,5210,6572,53053,32247,139537,133241,90448,260646,6528,127406,33229,2515,16281,246308,35684,6.6,8528,56343,6.7,65475,7751,21180,63872,129844,28187,10776,"209",11776,86083,116464,21637,169544,83460,6.6,10863
1733,139514,145998,49527,963,31908,58.8,286305,2693,140305,143018,65.3,48.6,26108,17622,12948,52.6,11420,60.5,54.4,29009,1774,5293,3518,2944,33433,282531,40486,51058,17933,"Melbourne - North West",101381,60892,4193,4401,33123,23807,96137,98243,62704,192679,4881,94439,23771,1942,12651,168443,20765,7.5,6854,41956,7.6,47576,5802,14686,37049,91678,16280,5267,"210",8596,60394,76759,10786,120663,60272,7.5,5521
2362,196360,207458,79081,1271,51136,64.6,400160,3635,192698,205812,70.1,56.5,42143,27945,20908,59.6,17633,66.4,61.3,47148,3687,10453,6766,4675,51394,402167,50194,84870,25616,"Melbourne - Outer East",125594,75398,5104,6496,59256,26546,148675,147194,97280,288142,7389,140951,28438,2714,13560,258702,36214,5.2,7089,68060,5.2,54979,6467,24512,63920,135087,27706,9144,"211",11598,79060,123617,18294,152694,73629,5.2,9146
3545,287259,303274,101151,2022,63414,60.4,599626,5561,296351,291649,66.7,49.8,57771,37735,28144,54.3,25735,61.8,55.7,57543,3654,9983,6327,6048,71832,578908,83434,109542,39062,"Melbourne - South East",206710,123273,7982,8648,70478,56083,208063,189160,136236,373899,9902,184734,55419,3856,28083,362324,47081,7.3,14376,85687,8.3,111506,13704,32036,86275,197656,39193,14188,"212",16631,141872,164670,29586,284141,142270,7.8,15393
3241,275045,287288,93159,2006,57979,62.4,568107,5243,280819,280202,68.5,51.2,51317,35176,26398,56.4,23141,63.1,57.1,52085,3710,10445,6738,5540,73644,555241,71830,100954,36309,"Melbourne - West",180349,108518,8187,8861,64654,50768,206429,180603,132787,356320,9430,175717,50964,3888,30032,354465,46917,7.9,15165,78489,9.2,101733,14865,28176,84639,192444,37725,14016,"213",17044,132463,162024,28733,263683,131219,8.5,14715
